District,Year,Select Offense,Cases
Sangli,2020,ATM Fraud,4
Sangli,2020,Online Banking Fraud,5
Sangli,2020,OTP Frauds,6
Sangli,2020,Other Frauds,2
Satara,2020,Credit Card/Debit Card Fraud,0
Satara,2020,ATM Fraud,1
Satara,2020,Online Banking Fraud,13
Satara,2020,OTP Frauds,6
Satara,2020,Other Frauds,0
Sindhudurg,2020,Credit Card/Debit Card Fraud,1
Sindhudurg,2020,ATM Fraud,0
Sindhudurg,2020,Online Banking Fraud,12
Sindhudurg,2020,OTP Frauds,7
Sindhudurg,2020,Other Frauds,0
Total,2020,Credit Card/Debit Card Fraud,180
Total,2020,ATM Fraud,324
Total,2020,Online Banking Fraud,821
Total,2020,OTP Frauds,229
Total,2020,Other Frauds,478
Wardha,2020,Credit Card/Debit Card Fraud,3
Wardha,2020,ATM Fraud,10
Wardha,2020,Online Banking Fraud,14
Wardha,2020,OTP Frauds,4
Wardha,2020,Other Frauds,0
Washim,2020,Credit Card/Debit Card Fraud,0
Washim,2020,ATM Fraud,0
Washim,2020,Online Banking Fraud,2
Washim,2020,OTP Frauds,0
Washim,2020,Other Frauds,0
Yavatmal,2020,Credit Card/Debit Card Fraud,1
Yavatmal,2020,ATM Fraud,5
Yavatmal,2020,Online Banking Fraud,4
Yavatmal,2020,OTP Frauds,0
Yavatmal,2020,Other Frauds,3
Ahilyanagar,2021,Credit Card/Debit Card Fraud,0
Ahilyanagar,2021,ATM Fraud,0
Ahilyanagar,2021,Online Banking Fraud,0
Ahilyanagar,2021,OTP Frauds,0
Ahilyanagar,2021,Other Frauds,0
Akola,2021,Credit Card/Debit Card Fraud,0
Akola,2021,ATM Fraud,2
Akola,2021,Online Banking Fraud,1
Akola,2021,OTP Frauds,1
Akola,2021,Other Frauds,9
Beed,2021,Credit Card/Debit Card Fraud,10
Beed,2021,ATM Fraud,8
Beed,2021,Online Banking Fraud,63
Beed,2021,OTP Frauds,9
Beed,2021,Other Frauds,6
Bhandara,2021,Credit Card/Debit Card Fraud,0
Bhandara,2021,ATM Fraud,0
Bhandara,2021,Online Banking Fraud,21
Bhandara,2021,OTP Frauds,1
Bhandara,2021,Other Frauds,1
Buldhana,2021,Credit Card/Debit Card Fraud,3
Buldhana,2021,ATM Fraud,1
Buldhana,2021,Online Banking Fraud,10
Buldhana,2021,OTP Frauds,2
Buldhana,2021,Other Frauds,7
Chandrapur,2021,Credit Card/Debit Card Fraud,1
Chandrapur,2021,ATM Fraud,9
Chandrapur,2021,Online Banking Fraud,25
Chandrapur,2021,OTP Frauds,6
Chandrapur,2021,Other Frauds,9
Dhule,2021,Credit Card/Debit Card Fraud,0
Dhule,2021,ATM Fraud,0
Dhule,2021,Online Banking Fraud,0
Dhule,2021,OTP Frauds,0
Dhule,2021,Other Frauds,0
Gadchiroli,2021,Credit Card/Debit Card Fraud,0
Gadchiroli,2021,ATM Fraud,2
Gadchiroli,2021,Online Banking Fraud,4
Gadchiroli,2021,OTP Frauds,1
Gadchiroli,2021,Other Frauds,1
Gondia,2021,Credit Card/Debit Card Fraud,3
Gondia,2021,ATM Fraud,1
Gondia,2021,Online Banking Fraud,4
Gondia,2021,OTP Frauds,1
Gondia,2021,Other Frauds,1
Hingoli,2021,Credit Card/Debit Card Fraud,0
Hingoli,2021,ATM Fraud,1
Hingoli,2021,Online Banking Fraud,0
Hingoli,2021,OTP Frauds,0
Hingoli,2021,Other Frauds,1
Jalgaon,2021,Credit Card/Debit Card Fraud,7
Jalgaon,2021,ATM Fraud,3
Jalgaon,2021,Online Banking Fraud,8
Jalgaon,2021,OTP Frauds,4
Jalgaon,2021,Other Frauds,3
Jalna,2021,Credit Card/Debit Card Fraud,21
Jalna,2021,ATM Fraud,1
Jalna,2021,Online Banking Fraud,2
Jalna,2021,OTP Frauds,1
Jalna,2021,Other Frauds,0
Kolhapur,2021,Credit Card/Debit Card Fraud,0
Kolhapur,2021,ATM Fraud,1
Kolhapur,2021,Online Banking Fraud,9
Kolhapur,2021,OTP Frauds,3
Kolhapur,2021,Other Frauds,2
Latur,2021,Credit Card/Debit Card Fraud,2
Latur,2021,ATM Fraud,5
Latur,2021,Online Banking Fraud,10
Latur,2021,OTP Frauds,1
Latur,2021,Other Frauds,0
Nanded,2021,Credit Card/Debit Card Fraud,0
Nanded,2021,ATM Fraud,1
Nanded,2021,Online Banking Fraud,0
Nanded,2021,OTP Frauds,0
Nanded,2021,Other Frauds,0
Nandurbar,2021,Credit Card/Debit Card Fraud,0
Nandurbar,2021,ATM Fraud,1
Nandurbar,2021,Online Banking Fraud,1
Nandurbar,2021,OTP Frauds,0
Nandurbar,2021,Other Frauds,1
Dharashiv,2021,Credit Card/Debit Card Fraud,2
Dharashiv,2021,ATM Fraud,0
Dharashiv,2021,Online Banking Fraud,10
Dharashiv,2021,OTP Frauds,4
Dharashiv,2021,Other Frauds,0
Palghar,2021,Credit Card/Debit Card Fraud,0
Palghar,2021,ATM Fraud,0
Palghar,2021,Online Banking Fraud,0
Palghar,2021,OTP Frauds,0
Palghar,2021,Other Frauds,0
Parbhani,2021,Credit Card/Debit Card Fraud,3
Parbhani,2021,ATM Fraud,4
Parbhani,2021,Online Banking Fraud,1
Parbhani,2021,OTP Frauds,0
Parbhani,2021,Other Frauds,6
