Year,District,Select Offense,Cases
2017,Kolhapur,Counterfeiting,0
2017,Kolhapur,Cheating,168
2017,Kolhapur,Forgery,11
2017,Kolhapur,"Forgery, Cheating & Fraud",199
2017,Latur,Counterfeiting,0
2017,Latur,Cheating,120
2017,Latur,Forgery,0
2017,Latur,"Forgery, Cheating & Fraud",120
2017,Mumbai,Counterfeiting,18
2017,Mumbai,Cheating,2937
2017,Mumbai,Forgery,322
2017,Mumbai,"Forgery, Cheating & Fraud",3811
2017,Nagpur,Counterfeiting,4
2017,Nagpur,Cheating,453
2017,Nagpur,Forgery,54
2017,Nagpur,"Forgery, Cheating & Fraud",548
2017,Nanded,Counterfeiting,0
2017,Nanded,Cheating,79
2017,Nanded,Forgery,2
2017,Nanded,"Forgery, Cheating & Fraud",88
2017,Nandurbar,Counterfeiting,0
2017,Nandurbar,Cheating,39
2017,Nandurbar,Forgery,0
2017,Nandurbar,"Forgery, Cheating & Fraud",40
2017,Nasik,Counterfeiting,7
2017,Nasik,Cheating,257
2017,Nasik,Forgery,14
2017,Nasik,"Forgery, Cheating & Fraud",442
2017,Dharashiv,Counterfeiting,0
2017,Dharashiv,Cheating,41
2017,Dharashiv,Forgery,0
2017,Dharashiv,"Forgery, Cheating & Fraud",51
2017,Palghar,Counterfeiting,0
2017,Palghar,Cheating,224
2017,Palghar,Forgery,23
2017,Palghar,"Forgery, Cheating & Fraud",282
2017,Parbhani,Counterfeiting,0
2017,Parbhani,Cheating,12
2017,Parbhani,Forgery,0
2017,Parbhani,"Forgery, Cheating & Fraud",87
2017,Pune,Counterfeiting,6
2017,Pune,Cheating,826
2017,Pune,Forgery,40
2017,Pune,"Forgery, Cheating & Fraud",1472
2017,Raigad,Counterfeiting,1
2017,Raigad,Cheating,119
2017,Raigad,Forgery,0
2017,Raigad,"Forgery, Cheating & Fraud",162
2017,Ratnagiri,Counterfeiting,0
2017,Ratnagiri,Cheating,45
2017,Ratnagiri,Forgery,6
2017,Ratnagiri,"Forgery, Cheating & Fraud",133
2017,Sangli,Counterfeiting,1
2017,Sangli,Cheating,82
2017,Sangli,Forgery,14
2017,Sangli,"Forgery, Cheating & Fraud",160
2017,Satara,Counterfeiting,0
2017,Satara,Cheating,145
2017,Satara,Forgery,6
2017,Satara,"Forgery, Cheating & Fraud",179
2017,Sindhudurg,Counterfeiting,3
2017,Sindhudurg,Cheating,5
2017,Sindhudurg,Forgery,11
2017,Sindhudurg,"Forgery, Cheating & Fraud",27
2017,Solapur,Counterfeiting,10
2017,Solapur,Cheating,241
2017,Solapur,Forgery,31
2017,Solapur,"Forgery, Cheating & Fraud",298
2017,Thane,Counterfeiting,13
2017,Thane,Cheating,1373
2017,Thane,Forgery,58
2017,Thane,"Forgery, Cheating & Fraud",1691
2017,Wardha,Counterfeiting,1
2017,Wardha,Cheating,45
2017,Wardha,Forgery,35
2017,Wardha,"Forgery, Cheating & Fraud",128
2017,Washim,Counterfeiting,1
2017,Washim,Cheating,44
2017,Washim,Forgery,0
2017,Washim,"Forgery, Cheating & Fraud",44
2017,Yavatmal,Counterfeiting,3
2017,Yavatmal,Cheating,85
2017,Yavatmal,Forgery,0
2017,Yavatmal,"Forgery, Cheating & Fraud",119
2018,Ahilyanagar,Counterfeiting,0
2018,Ahilyanagar,Cheating,263
2018,Ahilyanagar,Forgery,0
2018,Ahilyanagar,"Forgery, Cheating & Fraud",266
2018,Akola,Counterfeiting,1
2018,Akola,Cheating,81
2018,Akola,Forgery,6
2018,Akola,"Forgery, Cheating & Fraud",99
2018,Amravati,Counterfeiting,0
2018,Amravati,Cheating,145
2018,Amravati,Forgery,29
2018,Amravati,"Forgery, Cheating & Fraud",243
2018,Chhatrapati Sambhaji Nagar,Counterfeiting,4
2018,Chhatrapati Sambhaji Nagar,Cheating,140
2018,Chhatrapati Sambhaji Nagar,Forgery,9
2018,Chhatrapati Sambhaji Nagar,"Forgery, Cheating & Fraud",321
2018,Beed,Counterfeiting,0
2018,Beed,Cheating,38
2018,Beed,Forgery,11
2018,Beed,"Forgery, Cheating & Fraud",82
2018,Bhandara,Counterfeiting,0
2018,Bhandara,Cheating,22
2018,Bhandara,Forgery,0
2018,Bhandara,"Forgery, Cheating & Fraud",49
2018,Buldhana,Counterfeiting,1
2018,Buldhana,Cheating,121
2018,Buldhana,Forgery,6
2018,Buldhana,"Forgery, Cheating & Fraud",139
2018,Chandrapur,Counterfeiting,1
2018,Chandrapur,Cheating,94
2018,Chandrapur,Forgery,0
2018,Chandrapur,"Forgery, Cheating & Fraud",138
2018,Dhule,Counterfeiting,0
2018,Dhule,Cheating,81
2018,Dhule,Forgery,0
2018,Dhule,"Forgery, Cheating & Fraud",81
2018,Gadchiroli,Counterfeiting,0
2018,Gadchiroli,Cheating,25
2018,Gadchiroli,Forgery,0
2018,Gadchiroli,"Forgery, Cheating & Fraud",45
2018,Gondia,Counterfeiting,0
2018,Gondia,Cheating,50
2018,Gondia,Forgery,0
2018,Gondia,"Forgery, Cheating & Fraud",65
