District,Year,Type of Court,Functioning Courts
Washim,2020,District Magistrate And Executive Magistrate,15.0
Washim,2020,"Family Court
",1.0
Washim,2020,Industrial Court,1.0
Washim,2020,Labor Court,1.0
Washim,2020,Public Court,1.0
Washim,2021,Civil Court,23.0
Washim,2021,Consumer Forum,1.0
Washim,2021,Criminal Court,19.0
Washim,2021,District Magistrate And Executive Magistrate,15.0
Washim,2021,"Family Court
",1.0
Washim,2021,Industrial Court,1.0
Washim,2021,Labor Court,1.0
Washim,2021,Public Court,1.0
Yavatmal,2012,Civil Court,57.0
Yavatmal,2012,Consumer Forum,1.0
Yavatmal,2012,Criminal Court,51.0
Yavatmal,2012,District Magistrate And Executive Magistrate,
Yavatmal,2012,Family Court,
Yavatmal,2012,Industrial Court,1.0
Yavatmal,2012,Labor Court,1.0
Yavatmal,2012,Public Court,
Yavatmal,2013,Civil Court,54.0
Yavatmal,2013,Consumer Forum,1.0
Yavatmal,2013,Criminal Court,48.0
Yavatmal,2013,District Magistrate And Executive Magistrate,
Yavatmal,2013,"Family Court
",
Yavatmal,2013,Industrial Court,1.0
Yavatmal,2013,Labor Court,1.0
Yavatmal,2013,Public Court,
Yavatmal,2014,Civil Court,57.0
Yavatmal,2014,Consumer Forum,1.0
Yavatmal,2014,Criminal Court,49.0
Yavatmal,2014,District Magistrate And Executive Magistrate,28.0
Yavatmal,2014,"Family Court
",
Yavatmal,2014,Industrial Court,1.0
Yavatmal,2014,Labor Court,1.0
Yavatmal,2014,Public Court,
Yavatmal,2015,Civil Court,6.0
Yavatmal,2015,Consumer Forum,1.0
Yavatmal,2015,Criminal Court,48.0
Yavatmal,2015,District Magistrate And Executive Magistrate,28.0
Yavatmal,2015,"Family Court
",
Yavatmal,2015,Industrial Court,1.0
Yavatmal,2015,Labor Court,1.0
Yavatmal,2015,Public Court,
Yavatmal,2016,Civil Court,72.0
Yavatmal,2016,Consumer Forum,1.0
Yavatmal,2016,Criminal Court,6.0
Yavatmal,2016,District Magistrate And Executive Magistrate,56.0
Yavatmal,2016,Family Court,
Yavatmal,2016,Industrial Court,1.0
Yavatmal,2016,Labor Court,1.0
Yavatmal,2016,Public Court,
Yavatmal,2017,Civil Court,64.0
Yavatmal,2017,Consumer Forum,1.0
Yavatmal,2017,Criminal Court,56.0
Yavatmal,2017,District Magistrate And Executive Magistrate,56.0
Yavatmal,2017,"Family Court
",
Yavatmal,2017,Industrial Court,1.0
Yavatmal,2017,Labor Court,1.0
Yavatmal,2017,Public Court,
Yavatmal,2018,Civil Court,63.0
Yavatmal,2018,Consumer Forum,1.0
Yavatmal,2018,Criminal Court,55.0
Yavatmal,2018,District Magistrate And Executive Magistrate,56.0
Yavatmal,2018,"Family Court
",
Yavatmal,2018,Industrial Court,1.0
Yavatmal,2018,Labor Court,1.0
Yavatmal,2018,Public Court,
Yavatmal,2019,Civil Court,59.0
Yavatmal,2019,Consumer Forum,1.0
Yavatmal,2019,Criminal Court,52.0
Yavatmal,2019,District Magistrate And Executive Magistrate,56.0
Yavatmal,2019,"Family Court
",
Yavatmal,2019,Industrial Court,1.0
Yavatmal,2019,Labor Court,1.0
Yavatmal,2019,Public Court,
Yavatmal,2020,Civil Court,59.0
Yavatmal,2020,Consumer Forum,1.0
Yavatmal,2020,Criminal Court,6.0
Yavatmal,2020,District Magistrate And Executive Magistrate,57.0
Yavatmal,2020,"Family Court
",
Yavatmal,2020,Industrial Court,1.0
Yavatmal,2020,Labor Court,1.0
Yavatmal,2020,Public Court,
Yavatmal,2021,Civil Court,6.0
Yavatmal,2021,Consumer Forum,1.0
Yavatmal,2021,Criminal Court,61.0
Yavatmal,2021,District Magistrate And Executive Magistrate,54.0
Yavatmal,2021,"Family Court
",1.0
Yavatmal,2021,Industrial Court,1.0
Yavatmal,2021,Labor Court,1.0
Yavatmal,2021,Public Court,
