District,Year,Type of Court,Functioning Courts
Bhandara,2016,Civil Court,2.0
Bhandara,2016,Consumer Forum,1.0
Bhandara,2016,Criminal Court,24.0
Bhandara,2016,District Magistrate And Executive Magistrate,1.0
Bhandara,2016,Family Court,
Bhandara,2016,Industrial Court,1.0
Bhandara,2016,Labor Court,1.0
Bhandara,2016,Public Court,
Bhandara,2017,Civil Court,2.0
Bhandara,2017,Consumer Forum,1.0
Bhandara,2017,Criminal Court,19.0
Bhandara,2017,District Magistrate And Executive Magistrate,1.0
Bhandara,2017,"Family Court
",
Bhandara,2017,Industrial Court,1.0
Bhandara,2017,Labor Court,1.0
Bhandara,2017,Public Court,
Bhandara,2018,Civil Court,2.0
Bhandara,2018,Consumer Forum,1.0
Bhandara,2018,Criminal Court,17.0
Bhandara,2018,District Magistrate And Executive Magistrate,
Bhandara,2018,"Family Court
",
Bhandara,2018,Industrial Court,1.0
Bhandara,2018,Labor Court,1.0
Bhandara,2018,Public Court,
Bhandara,2019,Civil Court,3.0
Bhandara,2019,Consumer Forum,1.0
Bhandara,2019,Criminal Court,2.0
Bhandara,2019,District Magistrate And Executive Magistrate,
Bhandara,2019,"Family Court
",
Bhandara,2019,Industrial Court,1.0
Bhandara,2019,Labor Court,1.0
Bhandara,2019,Public Court,
Bhandara,2020,Civil Court,6.0
Bhandara,2020,Consumer Forum,1.0
Bhandara,2020,Criminal Court,16.0
Bhandara,2020,District Magistrate And Executive Magistrate,11.0
Bhandara,2020,"Family Court
",1.0
Bhandara,2020,Industrial Court,1.0
Bhandara,2020,Labor Court,1.0
Bhandara,2020,Public Court,
Bhandara,2021,Civil Court,5.0
Bhandara,2021,Consumer Forum,1.0
Bhandara,2021,Criminal Court,2.0
Bhandara,2021,District Magistrate And Executive Magistrate,11.0
Bhandara,2021,"Family Court
",1.0
Bhandara,2021,Industrial Court,1.0
Bhandara,2021,Labor Court,1.0
Bhandara,2021,Public Court,
Buldhana,2013,Civil Court,4.0
Buldhana,2013,Consumer Forum,1.0
Buldhana,2013,Criminal Court,51.0
Buldhana,2013,District Magistrate And Executive Magistrate,
Buldhana,2013,"Family Court
",
Buldhana,2013,Industrial Court,1.0
Buldhana,2013,Labor Court,1.0
Buldhana,2013,Public Court,
Buldhana,2014,Civil Court,4.0
Buldhana,2014,Consumer Forum,
Buldhana,2014,Criminal Court,51.0
Buldhana,2014,District Magistrate And Executive Magistrate,
Buldhana,2014,"Family Court
",
Buldhana,2014,Industrial Court,1.0
Buldhana,2014,Labor Court,1.0
Buldhana,2014,Public Court,
Buldhana,2015,Civil Court,6.0
Buldhana,2015,Consumer Forum,1.0
Buldhana,2015,Criminal Court,35.0
Buldhana,2015,District Magistrate And Executive Magistrate,34.0
Buldhana,2015,"Family Court
",
Buldhana,2015,Industrial Court,1.0
Buldhana,2015,Labor Court,1.0
Buldhana,2015,Public Court,
Buldhana,2016,Civil Court,4.0
Buldhana,2016,Consumer Forum,1.0
Buldhana,2016,Criminal Court,38.0
Buldhana,2016,District Magistrate And Executive Magistrate,34.0
Buldhana,2016,Family Court,
Buldhana,2016,Industrial Court,1.0
Buldhana,2016,Labor Court,1.0
Buldhana,2016,Public Court,
Buldhana,2017,Civil Court,42.0
Buldhana,2017,Consumer Forum,1.0
Buldhana,2017,Criminal Court,4.0
Buldhana,2017,District Magistrate And Executive Magistrate,21.0
Buldhana,2017,"Family Court
",
Buldhana,2017,Industrial Court,1.0
Buldhana,2017,Labor Court,1.0
Buldhana,2017,Public Court,
Buldhana,2018,Civil Court,37.0
Buldhana,2018,Consumer Forum,1.0
Buldhana,2018,Criminal Court,33.0
Buldhana,2018,District Magistrate And Executive Magistrate,21.0
Buldhana,2018,"Family Court
",1.0
Buldhana,2018,Industrial Court,1.0
Buldhana,2018,Labor Court,1.0
Buldhana,2018,Public Court,
Buldhana,2019,Civil Court,37.0
Buldhana,2019,Consumer Forum,1.0
Buldhana,2019,Criminal Court,33.0
Buldhana,2019,District Magistrate And Executive Magistrate,21.0
Buldhana,2019,"Family Court
",1.0
Buldhana,2019,Industrial Court,1.0
Buldhana,2019,Labor Court,1.0
Buldhana,2019,Public Court,
Buldhana,2020,Civil Court,39.0
Buldhana,2020,Consumer Forum,1.0
Buldhana,2020,Criminal Court,34.0
Buldhana,2020,District Magistrate And Executive Magistrate,21.0
Buldhana,2020,"Family Court
",1.0
Buldhana,2020,Industrial Court,1.0
Buldhana,2020,Labor Court,1.0
Buldhana,2020,Public Court,1.0
Buldhana,2021,Civil Court,39.0
Buldhana,2021,Consumer Forum,1.0
Buldhana,2021,Criminal Court,36.0
Buldhana,2021,District Magistrate And Executive Magistrate,21.0
Buldhana,2021,"Family Court
",1.0
Buldhana,2021,Industrial Court,1.0
Buldhana,2021,Labor Court,1.0
Buldhana,2021,Public Court,
Chandrapur,2006,Civil Court,
Chandrapur,2006,Consumer Forum,
