District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Amravati,2013,District Magistrate And Executive Magistrate,,,,,,,,
Amravati,2013,Customer Forum,1,224,3,3,224,184,0,0
Amravati,2014,Civil Court,41,7391,41,41,2497,2964,1075,855
Amravati,2014,Criminal Court,,22657,,,16280,3723,754,1900
Amravati,2014,Public Court,,,,,,,,
Amravati,2014,Labor Court,1,776,1,1,740,36,0,0
Amravati,2014,Industrial Court,1,215,1,1,137,3,74,1
Amravati,2014,Family Court,1,571,1,1,206,365,,
Amravati,2014,District Magistrate And Executive Magistrate,,,,,,,,
Amravati,2014,Customer Forum,1,314,3,2,170,144,0,0
Amravati,2015,Civil Court,54,7077,54,53,2326,4127,315,309
Amravati,2015,Criminal Court,,20660,,,15933,2772,270,1685
Amravati,2015,Public Court,,,,,,,,
Amravati,2015,Labor Court,1,848,1,1,794,54,0,0
Amravati,2015,Industrial Court,1,288,1,1,192,12,84,0
Amravati,2015,Family Court,1,713,1,1,205,508,,
Amravati,2015,District Magistrate And Executive Magistrate,23,,,,,,,
Amravati,2015,Customer Forum,1,436,3,2,366,70,0,0
Amravati,2016,Civil Court,59,8824,59,59,2319,4593,411,1501
Amravati,2016,Criminal Court,,21993,,,14787,4317,498,2391
Amravati,2016,Public Court,,,,,,,,
Amravati,2016,Labor Court,1,796,1,1,749,47,0,0
Amravati,2016,Industrial Court,1,281,1,1,132,8,141,0
Amravati,2016,Family Court,1,583,1,1,211,372,,
Amravati,2016,District Magistrate And Executive Magistrate,,8961,,,,,,
Amravati,2016,Customer Forum,1,308,3,2,235,73,0,0
Amravati,2017,Civil Court,56,11037,56,55,2624,5668,465,2280
Amravati,2017,Criminal Court,,28914,,,19920,5980,1015,1999
Amravati,2017,Public Court,,,,,,,,
Amravati,2017,Labor Court,1,832,1,1,788,44,0,0
Amravati,2017,Industrial Court,1,794,1,1,584,21,189,0
Amravati,2017,Family Court,1,1113,1,1,267,846,,
Amravati,2017,District Magistrate And Executive Magistrate,,6475,,,,,,
Amravati,2017,Customer Forum,1,8239,3,3,6978,1261,0,0
Amravati,2018,Civil Court,65,11950,65,65,2619,6891,1251,1189
Amravati,2018,Criminal Court,,24494,,,16989,4009,753,2743
Amravati,2018,Public Court,,,,,,,,
Amravati,2018,Labor Court,1,877,1,1,817,60,,
Amravati,2018,Industrial Court,1,874,1,1,665,14,195,0
Amravati,2018,Family Court,1,897,1,1,249,648,,
Amravati,2018,District Magistrate And Executive Magistrate,25,2132,25,24,1563,579,342,10
Amravati,2018,Customer Forum,1,8519,3,3,7203,1316,,
Amravati,2019,Civil Court,67,11796,68,67,2703,6850,1210,1033
Amravati,2019,Criminal Court,,21305,,,15480,3890,605,1330
Amravati,2019,Public Court,,,,,,,,
Amravati,2019,Labor Court,1,238,1,1,212,26,,
Amravati,2019,Industrial Court,1,131,1,0,44,6,81,0
Amravati,2019,Family Court,1,890,1,1,264,626,,
Amravati,2019,District Magistrate And Executive Magistrate,31,4240,30,30,3897,940,204,10
Amravati,2019,Customer Forum,1,8803,3,3,7433,1370,,
Amravati,2020,Civil Court,64,7242,64,64,1797,4526,309,610
Amravati,2020,Criminal Court,,11618,,,4912,3510,1086,2110
