District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Nagpur,2021,Criminal Court,71,78253,77,71,6542,65199,1363,5149
Nagpur,2021,Public Court,2,329,2,2,180,149,0,0
Nagpur,2021,Labor Court,4,516,4,4,393,123,0,0
Nagpur,2021,Industrial Court,5,487,5,4,340,12,132,3
Nagpur,2021,Family Court,4,8713,4,4,6986,1727,0,0
Nagpur,2021,District Magistrate And Executive Magistrate,83,292,83,72,292,0,0,0
Nagpur,2021,Customer Forum,4,2992,6,4,1462,957,536,37
Nanded,2014,Civil Court,43,6148,43,43,3949,1746,253,200
Nanded,2014,Criminal Court,40,15817,40,40,11723,3749,104,241
Nanded,2014,Public Court,1,1357,1,1,1357,,, 
Nanded,2014,Labor Court,1,177,1,1,177,,, 
Nanded,2014,Industrial Court,,,,,,,,
Nanded,2014,Family Court,,,,,,,,
Nanded,2014,District Magistrate And Executive Magistrate,25,20458,25,25,20458,,,
Nanded,2014,Customer Forum,1,508,1,1,443,65,,
Nanded,2015,Civil Court,51,7576,51,51,4389,2757,241,189
Nanded,2015,Criminal Court,51,1996,51,51,203,1504,105,184
Nanded,2015,Public Court,1,1357,1,1,1357,,, 
Nanded,2015,Labor Court,1,202,1,1,202,,, 
Nanded,2015,Industrial Court,,,,,,,,
Nanded,2015,Family Court,,,,,,,,
Nanded,2015,District Magistrate And Executive Magistrate,25,7979,25,25,7979,,,
Nanded,2015,Customer Forum,1,765,1,1,646,119, ,
Nanded,2016,Civil Court,53,8603,53,53,4400,3823,225,155
Nanded,2016,Criminal Court,53,15580,53,53,11921,3417,107,135
Nanded,2016,Public Court,1,4615,1,1,4615,,, 
Nanded,2016,Labor Court,1,485,1,1,388,97,, 
Nanded,2016,Industrial Court, , , , , ,,,
Nanded,2016,Family Court, , , , , ,,,
Nanded,2016,District Magistrate And Executive Magistrate,3,8948,16,16,8948,,,
Nanded,2016,Customer Forum,1,1699,1,1,1390,309, ,
Nanded,2017,Civil Court,52,25215,52,52,3471,21054,451,239
Nanded,2017,Criminal Court,49,17838,49,49,8374,9130,189,145
Nanded,2017,Public Court,1,3528,1,1,3528,,, 
Nanded,2017,Labor Court,1,107,1,1,80,27,, 
Nanded,2017,Industrial Court, , , , , ,,,
Nanded,2017,Family Court, , , , , ,,,
Nanded,2017,District Magistrate And Executive Magistrate,3,9329,25,25,9329,,,
Nanded,2017,Customer Forum,1,689,1,1,455,234, ,
Nanded,2018,Civil Court,56,10373,56,54,3416,4614,396,1947
Nanded,2018,Criminal Court,1,19169,1,1,6231,10376,191,2371
Nanded,2018,Public Court,1,2544,1,1,0,0,0,0
Nanded,2018,Labor Court,1,387,1,1,284,103,0,0
Nanded,2018,Industrial Court,0,0,0,0,0,0,0,0
Nanded,2018,Family Court,1,621,1,934,313,0,0,0
Nanded,2018,District Magistrate And Executive Magistrate,3,10209,25,25,10209,0,0,0
Nanded,2018,Customer Forum,1,1995,1,1,1015,292,0,0
Nanded,2019,Civil Court,56,13777,56,52,4226,5509,366,3676
Nanded,2019,Criminal Court,1,19531,1,1,7198,9461,199,2673
Nanded,2019,Public Court,1,2600,1,1,2600,0,0,0
Nanded,2019,Labor Court,1,487,1,1,334,153,0,0
Nanded,2019,Industrial Court,0,0,0,0,0,0,0,0
Nanded,2019,Family Court,1,1079,1,1,1004,75,0,0
Nanded,2019,District Magistrate And Executive Magistrate,3,8684,25,25,8684,0,0,0
Nanded,2019,Customer Forum,1,1334,1,1,638,696,0,0
Nanded,2020,Civil Court,56,6980,56,54,2306,3566,117,991
Nanded,2020,Criminal Court,1,12441,1,1,2363,8175,154,1749
Nanded,2020,Public Court,1,4708,1,1,2739,1969,0,0
Nanded,2020,Labor Court,1,470,1,1,270,200,0,0
Nanded,2020,Industrial Court,1,23,1,1,4,0,18,1
Nanded,2020,Family Court,1,409,1,1,334,75,0,0
Nanded,2020,District Magistrate And Executive Magistrate,25,6795,25,25,6795,0,0,0
Nanded,2020,Customer Forum,1,2472,1,1,2432,40,0,0
Nanded,2021,Civil Court,54,13708,54,54,3446,10003,174,85
Nanded,2021,Criminal Court,54,18387,54,54,7246,10794,157,190
Nanded,2021,Public Court,55,3136,,,,,,
Nanded,2021,Labor Court,1,152,1,1,111,41,0,0
Nanded,2021,Industrial Court,0,66,0,0,13,3,46,4
Nanded,2021,Family Court,1,452,1,1,376,76,0,0
Nanded,2021,District Magistrate And Executive Magistrate,25,6931,25,25,0,0,0,0
Nanded,2021,Customer Forum,1,2616,1,1,1919,697,0,0
Nandurbar,2006,Civil Court,,131,,,2,0,8,121
Nandurbar,2006,Criminal Court,,190,,,86,0,36,68
Nandurbar,2006,Public Court,,48,,,48,0,0,0
Nandurbar,2006,Labor Court,,3,,,0,3,0,0
Nandurbar,2006,Industrial Court,,20,,,17,3,0,0
Nandurbar,2006,Family Court,,,,,,,,
Nandurbar,2006,District Magistrate And Executive Magistrate,,65,,,30,35,0,0
Nandurbar,2006,Customer Forum,,,,,,,,
Nandurbar,2008,Civil Court,,1421,,,614,311,396,100
Nandurbar,2008,Criminal Court,,8494,,,5686,2319,228,261
Nandurbar,2008,Public Court,,606,,,526,80,0,0
Nandurbar,2008,Labor Court,,0,,,0,0,0,0
Nandurbar,2008,Industrial Court,,9,,,6,1,2,0
Nandurbar,2008,Family Court,,,,,,,,
Nandurbar,2008,District Magistrate And Executive Magistrate,,125,,,72,0,53,0
Nandurbar,2008,Customer Forum,,,,,,,,
Nandurbar,2009,Civil Court,2,1546,2,2,655,413,385,93
Nandurbar,2009,Criminal Court,15,10296,15,15,6750,3130,109,307
Nandurbar,2009,Public Court,5,404,5,5,282,122,0,0
Nandurbar,2009,Labor Court,1,2,1,1,2,0,0,0
Nandurbar,2009,Industrial Court,1,8,1,1,1,5,2,0
Nandurbar,2009,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2009,District Magistrate And Executive Magistrate,1,200,1,1,109,0,91,0
Nandurbar,2009,Customer Forum,1,125,1,0,41,80,1,3
Nandurbar,2010,Civil Court,4,1999,4,4,839,461,588,111
Nandurbar,2010,Criminal Court,15,10204,15,15,6420,3103,326,355
Nandurbar,2010,Public Court,5,529,5,5,361,168,0,0
Nandurbar,2010,Labor Court,1,3,1,1,2,1,0,0
Nandurbar,2010,Industrial Court,1,15,1,1,6,5,4,0
Nandurbar,2010,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2010,District Magistrate And Executive Magistrate,1,200,1,1,109,0,91,0
Nandurbar,2010,Customer Forum,1,520,1,0,440,80,0,0
Nandurbar,2011,Civil Court,4,2005,4,4,1516,481,0,8
Nandurbar,2011,Criminal Court,15,11221,15,15,7105,3185,429,502
Nandurbar,2011,Public Court,15,3981,0,0,1236,0,0,0
Nandurbar,2011,Labor Court,1,239,1,1,198,41,0,0
Nandurbar,2011,Industrial Court,1,21,1,1,8,9,4,0
Nandurbar,2011,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2011,District Magistrate And Executive Magistrate,1,230,1,1,189,0,41,0
Nandurbar,2011,Customer Forum,1,80,3,2,55,25,0,0
Nandurbar,2012,Civil Court,4,2005,4,4,1519,486,0,0
Nandurbar,2012,Criminal Court,10,11230,10,10,7210,3089,429,502
Nandurbar,2012,Public Court,1,0,1,0,0,0,0,0
Nandurbar,2012,Labor Court,1,262,1,1,226,36,0,0
Nandurbar,2012,Industrial Court,1,3,1,1,0,0,3,0
Nandurbar,2012,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2012,District Magistrate And Executive Magistrate,7,2250,7,7,2242,0,117,0
Nandurbar,2012,Customer Forum,1,582,1,1,71,114,0,5
Nandurbar,2013,Civil Court,4,2029,4,4,1531,498,0,0
Nandurbar,2013,Criminal Court,10,11353,10,10,7250,3142,449,512
Nandurbar,2013,Public Court,1,0,1,0,0,0,0,0
Nandurbar,2013,Labor Court,1,231,1,1,211,20,0,0
Nandurbar,2013,Industrial Court,1,77,1,1,29,27,21,0
Nandurbar,2013,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2013,District Magistrate And Executive Magistrate,7,2359,7,7,2240,0,119,0
Nandurbar,2013,Customer Forum,1,64,1,0,44,20,0,0
Nandurbar,2014,Civil Court,2,478,2,2,405,15,15,43
Nandurbar,2014,Criminal Court,13,8460,13,13,2049,5977,109,325
Nandurbar,2014,Public Court,1,1451,1,1,159,1135,119,38
Nandurbar,2014,Labor Court,1,200,1,1,180,20,0,0
Nandurbar,2014,Industrial Court,1,16,1,1,9,2,5,0
Nandurbar,2014,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2014,District Magistrate And Executive Magistrate,7,1028,7,7,899,47,82,0
Nandurbar,2014,Customer Forum,1,71,1,0,61,7,3,0
Nandurbar,2015,Civil Court,2,4575,2,2,3811,502,115,147
Nandurbar,2015,Criminal Court,18,8031,18,18,2067,5568,101,295
Nandurbar,2015,Public Court,1,1207,1,1,28,1136,12,31
Nandurbar,2015,Labor Court,1,21,1,1,21,0,0,0
Nandurbar,2015,Industrial Court,1,48,1,1,25,1,5,17
Nandurbar,2015,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2015,District Magistrate And Executive Magistrate,10,940,10,10,875,54,11,0
Nandurbar,2015,Customer Forum,1,119,1,0,89,18,12,0
Nandurbar,2016,Civil Court,2,4630,2,2,3114,491,309,716
Nandurbar,2016,Criminal Court,18,6066,18,18,1522,4228,147,169
Nandurbar,2016,Public Court,1,366,1,0,95,125,146,0
Nandurbar,2016,Labor Court,1,25,1,1,15,10,0,0
Nandurbar,2016,Industrial Court,1,166,1,0,134,0,11,0
Nandurbar,2016,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2016,District Magistrate And Executive Magistrate,10,937,10,10,873,54,10,0
Nandurbar,2016,Customer Forum,1,237,1,1,82,141,14,0
Nandurbar,2017,Civil Court,2,3491,2,2,2151,357,351,632
Nandurbar,2017,Criminal Court,18,8986,18,18,2367,6292,158,169
Nandurbar,2017,Public Court,1,17782,1,1,0,17782,0,0
Nandurbar,2017,Labor Court,1,601,1,1,601,0,0,0
Nandurbar,2017,Industrial Court,1,139,1,1,134,0,5,0
Nandurbar,2017,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2017,District Magistrate And Executive Magistrate,10,940,10,10,875,54,11,0
Nandurbar,2017,Customer Forum,1,1239,1,1,1239,0,0,0
Nandurbar,2018,Civil Court,3,7863,3,3,941,4431,140,2351
Nandurbar,2018,Criminal Court,12,15963,12,12,2931,8711,163,4158
Nandurbar,2018,Public Court,1,12838,1,1,0,12838,0,0
Nandurbar,2018,Labor Court,1,571,1,1,15,556,0,0
Nandurbar,2018,Industrial Court,1,201,1,1,193,0,8,0
Nandurbar,2018,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2018,District Magistrate And Executive Magistrate,10,1172,10,10,1137,31,4,0
Nandurbar,2018,Customer Forum,1,2007,1,1,1429,578,0,0
Nandurbar,2019,Civil Court,2,5810,2,2,257,4049,195,1309
Nandurbar,2019,Criminal Court,12,12127,12,12,2225,6749,66,3087
Nandurbar,2019,Public Court,1,28653,1,1,3885,24768,0,0
Nandurbar,2019,Labor Court,1,534,11,9,15,519,0,0
Nandurbar,2019,Industrial Court,1,21,1,1,15,0,6,0
Nandurbar,2019,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2019,District Magistrate And Executive Magistrate,10,1580,10,10,1041,518,5,16
Nandurbar,2019,Customer Forum,1,2107,1,1,1488,619,0,0
Nandurbar,2020,Civil Court,2,7282,2,2,160,6917,195,10
Nandurbar,2020,Criminal Court,13,18059,13,13,1998,15688,131,242
Nandurbar,2020,Public Court,1,684,1,1,98,586,0,0
Nandurbar,2020,Labor Court,1,564,1,1,564,0,0,0
Nandurbar,2020,Industrial Court,1,169,1,1,155,1,13,0
Nandurbar,2020,Family Court,0,0,0,0,0,0,0,0
Nandurbar,2020,District Magistrate And Executive Magistrate,16,1619,16,16,1619,0,0,0
Nandurbar,2020,Customer Forum,1,2167,1,1,1535,632,0,0
Nandurbar,2021,Civil Court,,,,,,,,
Nandurbar,2021,Criminal Court,,,,,,,,
Nandurbar,2021,Public Court,,,,,,,,
Nandurbar,2021,Labor Court,,,,,,,,
Nandurbar,2021,Industrial Court,,,,,,,,
Nandurbar,2021,Family Court,,,,,,,,
Nandurbar,2021,District Magistrate And Executive Magistrate,,,,,,,,
Nandurbar,2021,Customer Forum,,,,,,,,
Nashik,2012,Civil Court,70,14334,70,70,7515,2658,2864,1297
Nashik,2012,Criminal Court,72,82871,72,72,24689,53764,748,3670
Nashik,2012,Public Court,1,99000,1,1,18153, , , 
Nashik,2012,Labor Court,1,458,1,1,379,79, , 
Nashik,2012,Industrial Court,1,1257,1,1,1138, ,119, 
Nashik,2012,Family Court,1,2059,1,1,2059, , , 
Nashik,2012,District Magistrate And Executive Magistrate, , , , , , , , 
Nashik,2012,Customer Forum,1,306,1,1,306, , , 
Nashik,2013,Civil Court,71,11168,71,71,4968,2306,2955,939
Nashik,2013,Criminal Court,73,50444,73,73,18027,28077,629,3711
Nashik,2013,Public Court,1,18153,1,1,18153, , , 
Nashik,2013,Labor Court,2,2207,2,1,2032,175, , 
Nashik,2013,Industrial Court,1,936,1,1,726, ,210, 
Nashik,2013,Family Court,1,2059,1,1,2059, , , 
Nashik,2013,District Magistrate And Executive Magistrate,24,14396,24,24,11428,2968, , 
Nashik,2013,Customer Forum,1,148,1,1,148, , , 
Nashik,2014,Civil Court,66,11484,66,66,5064,2243,2883,1294
Nashik,2014,Criminal Court,60,50431,60,60,17393,28917,875,3246
Nashik,2014,Public Court,1,5185,1,1,5185,0,0,0
Nashik,2014,Labor Court,2,2186,2,2,1472,714,0,0
Nashik,2014,Industrial Court,1,879,1,1,651,0,228,0
Nashik,2014,Family Court,1,2266,16,15,2242,24,0,0
Nashik,2014,District Magistrate And Executive Magistrate,24,13352,24,24,12300,1052,0,0
Nashik,2014,Customer Forum,1,724,3,3,0,353,0,0
Nashik,2015,Civil Court,67,12026,67,67,5354,2286,3098,1288
Nashik,2015,Criminal Court,62,46466,62,62,13078,29173,533,3682
Nashik,2015,Public Court,1,5185,1,1,5185,0,0,0
Nashik,2015,Labor Court,2,1864,2,2,211,15,0,0
Nashik,2015,Industrial Court,1,693,1,1,492,0,201,0
Nashik,2015,Family Court,1,2458,1,1,2403,55,0,0
Nashik,2015,District Magistrate And Executive Magistrate,25,14494,25,25,11483,3011,0,0
Nashik,2015,Customer Forum,1,1077,3,3,724,353,0,0
Nashik,2016,Civil Court,73,11076,67,67,3754,2612,3089,1621
Nashik,2016,Criminal Court,70,58818,64,64,11066,43118,525,4109
Nashik,2016,Public Court,1,34,1,1,34,0,0,0
Nashik,2016,Labor Court,2,567,2,2,550,17,0,0
Nashik,2016,Industrial Court,1,724,1,1,500,39,185,0
Nashik,2016,Family Court,1,2693,1,1,2623,70,0,0
Nashik,2016,District Magistrate And Executive Magistrate,25,15219,25,25,12057,3162,0,0
Nashik,2016,Customer Forum,1,1094,3,3,724,370,0,0
Nashik,2017,Civil Court,73,11582,73,73,3910,2898,3183,1591
Nashik,2017,Criminal Court,70,58661,64,64,14353,39724,569,4015
Nashik,2017,Public Court,1,,1,1,,,,
Nashik,2017,Labor Court,2,620,2,2,528,92,,
Nashik,2017,Industrial Court,1,222,1,1,83,10,129,
Nashik,2017,Family Court,1,1534,1,1,1126,408,,
Nashik,2017,District Magistrate And Executive Magistrate,25,15497,25,25,11978,3512,4,3
Nashik,2017,Customer Forum,1,11212,3,3,,,,
Nashik,2018,Civil Court,83,12375,75,75,4366,3865,2438,1706
Nashik,2018,Criminal Court,80,61132,75,75,14174,41649,663,4646
Nashik,2018,Public Court,5,38695, , , , , , 
Nashik,2018,Labor Court,2,601,2,2,456,145, , 
Nashik,2018,Industrial Court,1,802,1,1,655,25,122, 
Nashik,2018,Family Court,1,3900,1,1,3900, , , 
Nashik,2018,District Magistrate And Executive Magistrate,25,16103,25,25,12258,3836,5,4
Nashik,2018,Customer Forum,1,1406,1,1, , ,177, 
Nashik,2019,Civil Court,84,11806,76,76,3433,4420,2477,1476
Nashik,2019,Criminal Court,84,54590,76,76,15710,33554,645,4681
Nashik,2019,Public Court,5,46998, , , , , , 
Nashik,2019,Labor Court,2,529,2,2,460,69, , 
Nashik,2019,Industrial Court,1,890,1,1,719,13,158, 
Nashik,2019,Family Court,1,1568,1,1,585,983, , 
Nashik,2019,District Magistrate And Executive Magistrate,25,16267,25,25,12314,3941,7,5
Nashik,2019,Customer Forum,1,839,1,1,605,234, , 
Nashik,2020,Civil Court,82,3569,76,76,1196,1145,584,644
Nashik,2020,Criminal Court,82,17779,76,76,3140,11362,172,3105
Nashik,2020,Public Court,  ,3944, , ,1730,2214,0,0
Nashik,2020,Labor Court,2,124,2,2,74,50,0,0
Nashik,2020,Industrial Court,1,899,1,1,692,51,156,0
Nashik,2020,Family Court,1,811,1,1,378,433,0,0
Nashik,2020,District Magistrate And Executive Magistrate,26,14506,26,25,12754,1739,9,4
Nashik,2020,Customer Forum,1,2407,1,1,1513,894,0,0
Nashik,2021,Civil Court,82,11464,83,82,4832,3108,2253,1271
Nashik,2021,Criminal Court,82,88986,83,82,4437,79731,553,4265
Nashik,2021,Public Court,1,106741,1,1,17864,88859,18,0
Nashik,2021,Labor Court,2,1795,2,2,820,860,95,20
Nashik,2021,Industrial Court,1,1056,1,1,62,27,51,0
Nashik,2021,Family Court,1,1552,1,1,631,921,0,0
Nashik,2021,District Magistrate And Executive Magistrate,26,13278,26,26,11645,1623,7,3
Nashik,2021,Customer Forum,1,1951,1,1,1951,0,0,0
Dharashiv,2012,Civil Court,36,12342,36,36,5152,6643,358,189
Dharashiv,2012,Criminal Court,1,13426,1,1,3920,9324,182,0
Dharashiv,2012,Public Court,0,3644,0,0,2118,1526,0,0
Dharashiv,2012,Labor Court,0,0,0,0,0,0,0,0
Dharashiv,2012,Industrial Court,0,0,0,0,0,0,0,0
Dharashiv,2012,Family Court,0,0,0,0,0,0,0,0
Dharashiv,2012,District Magistrate And Executive Magistrate,0,5647,0,0,5647,0,0,0
Dharashiv,2012,Customer Forum,1,272,3,0,228,44,0,0
Dharashiv,2013,Civil Court,38,11635,38,38,7189,4145,190,111
Dharashiv,2013,Criminal Court,1,12869,1,1,4708,7994,59,108
Dharashiv,2013,Public Court,0,2932,0,0,1595,1337,0,0
Dharashiv,2013,Labor Court,0,0,0,0,0,0,0,0
Dharashiv,2013,Industrial Court,1,369,1,1,312,28,29,0
Dharashiv,2013,Family Court,0,0,0,0,0,0,0,0
Dharashiv,2013,District Magistrate And Executive Magistrate,13,4710,13,13,4710,0,0,0
Dharashiv,2013,Customer Forum,1,264,3,2,143,121,0,0
Dharashiv,2014,Civil Court,38,27493,38,38,4292,14545,591,8065
Dharashiv,2014,Criminal Court,1,22890,1,1,1751,15606,125,5408
Dharashiv,2014,Public Court,0,3221,0,0,2796,425,0,0
Dharashiv,2014,Labor Court,1,119,1,1,93,26,0,0
Dharashiv,2014,Industrial Court,1,412,1,1,329,47,36,0
Dharashiv,2014,Family Court,0,0,0,0,0,0,0,0
Dharashiv,2014,District Magistrate And Executive Magistrate,22,3187,22,22,3187,0,0,0
Dharashiv,2014,Customer Forum,1,475,3,3,412,63,0,0
Dharashiv,2015,Civil Court,38,10491,38,38,7017,2712,634,128
Dharashiv,2015,Criminal Court,1,22890,1,1,1751,15606,125,5408
Dharashiv,2015,Public Court,0,3221,0,0,2796,425,0,0
Dharashiv,2015,Labor Court,1,118,1,1,113,5,0,0
Dharashiv,2015,Industrial Court,1,412,1,1,329,47,36,0
Dharashiv,2015,Family Court,0,0,0,0,0,0,0,0
Dharashiv,2015,District Magistrate And Executive Magistrate,22,3311,22,22,3311,0,0,0
Dharashiv,2015,Customer Forum,1,422,3,3,390,32,0,0
Dharashiv,2016,Civil Court,24,10471,24,23,7150,2718,503,100
Dharashiv,2016,Criminal Court,1,10888,1,1,6539,4107,140,102
Dharashiv,2016,Public Court,0,3634,0,0,2839,795,0,0
Dharashiv,2016,Labor Court,0,115,0,0,94,21,0,0
Dharashiv,2016,Industrial Court,0,75,0,0,55,7,13,0
Dharashiv,2016,Family Court,0,0,0,0,0,0,0,0
Dharashiv,2016,District Magistrate And Executive Magistrate,12,2072,12,12,2072,0,0,0
Dharashiv,2016,Customer Forum,1,455,1,1,231,224,0,0
Dharashiv,2017,Civil Court,28,19414,28,28,1654,2053,580,240
Dharashiv,2017,Criminal Court,1,17939,1,1,1315,4580,146,56
Dharashiv,2017,Public Court,1,5065,1,1,4547,518,0,0
Dharashiv,2017,Labor Court,0,110,0,0,104,6,0,0
Dharashiv,2017,Industrial Court,0,577,0,0,576,0,1,0
Dharashiv,2017,Family Court,1,156,1,1,149,7,0,0
Dharashiv,2017,District Magistrate And Executive Magistrate,12,2275,12,12,2275,0,0,0
Dharashiv,2017,Customer Forum,1,355,1,1,148,207,0,0
Dharashiv,2018,Civil Court,44,14771,45,45,9693,4611,326,141
Dharashiv,2018,Criminal Court,,11945,,,6926,4740,156,123
Dharashiv,2018,Public Court,,6253,,,3981,1097,717,458
Dharashiv,2018,Labor Court,0,101,0,0,101,0,0,0
Dharashiv,2018,Industrial Court,0,748,0,0,605,51,92,0
Dharashiv,2018,Family Court,1,250,1,1,108,142,0,0
Dharashiv,2018,District Magistrate And Executive Magistrate,22,1565,22,22,1565,0,0,0
Dharashiv,2018,Customer Forum,1,439,1,1,203,236,0,0
Dharashiv,2019,Civil Court,44,13202,45,44,8344,4601,160,97
Dharashiv,2019,Criminal Court,,8551,,,1809,6524,113,105
Dharashiv,2019,Public Court,,4117,,,3678,439,0,0
Dharashiv,2019,Labor Court,0,94,0,0,33,61,0,0
Dharashiv,2019,Industrial Court,0,776,0,0,678,0,98,0
Dharashiv,2019,Family Court,1,198,1,1,96,102,0,0
Dharashiv,2019,District Magistrate And Executive Magistrate,22,1633,22,22,1633,0,0,0
Dharashiv,2019,Customer Forum,1,724,1,1,584,140,0,0
Dharashiv,2020,Civil Court,44,5354,45,44,2952,2318,49,35
Dharashiv,2020,Criminal Court,,4487,,,865,3572,14,36
Dharashiv,2020,Public Court,,768,,,678,90,0,0
Dharashiv,2020,Labor Court,0,9,0,0,4,5,0,0
Dharashiv,2020,Industrial Court,0,711,0,0,677,0,34,0
Dharashiv,2020,Family Court,1,165,1,1,34,131,0,0
Dharashiv,2020,District Magistrate And Executive Magistrate,22,2931,22,22,2931,0,0,0
Dharashiv,2020,Customer Forum,1,7540,1,1,6842,698,0,0
Dharashiv,2021,Civil Court,44,12896,45,44,6992,5721,119,64
Dharashiv,2021,Criminal Court,,10211,,,6594,3461,79,77
Dharashiv,2021,Public Court,,4153,,,2105,1022,650,376
Dharashiv,2021,Labor Court,0,80,0,0,27,53,0,0
Dharashiv,2021,Industrial Court,0,711,0,0,677,0,34,0
Dharashiv,2021,Family Court,1,658,1,1,208,450,0,0
Dharashiv,2021,District Magistrate And Executive Magistrate,22,1978,22,22,1978,0,0,0
Dharashiv,2021,Customer Forum,1,7790,1,1,7103,687,0,0
Palghar,2014,Civil Court,16,23228,18,16,12870,2925,2441,4992
Palghar,2014,Criminal Court,18,119531,18,18,107985,8796,1458,1292
Palghar,2014,Public Court,4,14587,4,4,12271,2316,0,0
Palghar,2014,Labor Court,4,4197,4,4,4135,62,0,0
Palghar,2014,Industrial Court,3,1875,3,2,1125,83,617,50
Palghar,2014,Family Court,1,840,1,1,840,0,0,0
Palghar,2014,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2014,Customer Forum,1,14,1,1,13,1,0,0
Palghar,2015,Civil Court,16,23635,18,16,13073,2949,2531,5082
Palghar,2015,Criminal Court,18,119881,23,18,108135,8896,1508,1342
Palghar,2015,Public Court,4,0,4,4,0,0,0,0
Palghar,2015,Labor Court,4,4071,4,4,3511,560,0,0
Palghar,2015,Industrial Court,3,1819,3,1,1569,48,200,2
Palghar,2015,Family Court,0,0,0,0,0,0,0,0
Palghar,2015,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2015,Customer Forum,1,8,1,1,0,8,,
Palghar,2016,Civil Court,16,23960,18,16,13248,2999,2581,5132
Palghar,2016,Criminal Court,18,120541,23,18,108495,8996,1608,1442
Palghar,2016,Public Court,0,0,0,0,0,0,0,0
Palghar,2016,Labor Court,4,135,4,4,130,5,0,0
Palghar,2016,Industrial Court,3,1954,3,2,1105,637,212,0
Palghar,2016,Family Court,0,0,0,0,0,0,0,0
Palghar,2016,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2016,Customer Forum,1,0,1,1,0,0,,
Palghar,2017,Civil Court,16,24760,18,16,13548,3199,2731,5282
Palghar,2017,Criminal Court,23,116841,23,23,108695,5046,1633,1467
Palghar,2017,Public Court,0,0,0,0,0,0,0,0
Palghar,2017,Labor Court,4,150,4,4,133,17,0,0
Palghar,2017,Industrial Court,3,150,3,2,129,0,21,0
Palghar,2017,Family Court,0,0,0,0,0,0,0,0
Palghar,2017,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2017,Customer Forum,1,0,3,3,0,0,,
Palghar,2018,Civil Court,16,28270,18,16,15448,3899,3331,5592
Palghar,2018,Criminal Court,23,124311,23,23,112900,6646,2833,1932
Palghar,2018,Public Court,0,70,0,0,65,5,0,0
Palghar,2018,Labor Court,4,1363,4,4,1025,338,0,0
Palghar,2018,Industrial Court,3,1717,3,3,1518,100,99,0
Palghar,2018,Family Court,1,1852,1,1,1718,134,0,0
Palghar,2018,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2018,Customer Forum,1,1318,3,2,342,976,,
Palghar,2019,Civil Court,16,31560,18,16,16468,5099,4121,5872
Palghar,2019,Criminal Court,23,133211,23,23,118100,8046,4023,3042
Palghar,2019,Public Court,0,97,0,0,91,6,0,0
Palghar,2019,Labor Court,4,1400,4,4,987,413,0,0
Palghar,2019,Industrial Court,3,1673,3,3,1405,105,163,0
Palghar,2019,Family Court,1,1819,2,1,1801,18,0,0
Palghar,2019,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2019,Customer Forum,1,322,1,1,322,0,,
Palghar,2020,Civil Court,16,39560,18,16,21368,6199,5619,6374
Palghar,2020,Criminal Court,23,137211,23,23,121100,8346,4523,3242
Palghar,2020,Public Court,0,21,0,0,8,13,0,0
Palghar,2020,Labor Court,4,444,4,4,242,202,0,0
Palghar,2020,Industrial Court,3,1345,3,3,1099,139,107,0
Palghar,2020,Family Court,1,2142,1,0,2122,20,0,0
Palghar,2020,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2020,Customer Forum,1,370,1,0,370,0,,
Palghar,2021,Civil Court,18,12923,18,18,7356,4630,259,678
Palghar,2021,Criminal Court,23,79842,23,23,33232,46072,223,315
Palghar,2021,Public Court,4,21,4,4,8,13,0,0
Palghar,2021,Labor Court,4,444,4,4,242,202,0,0
Palghar,2021,Industrial Court,3,18,3,1,18,0,0,0
Palghar,2021,Family Court,1,9,2,1,9,0,0,0
Palghar,2021,District Magistrate And Executive Magistrate,8,0,8,8,0,0,0,0
Palghar,2021,Customer Forum,1,1689,3,2,389,1300,,
Parbhani,2013,Civil Court,28,9180,28,28,2943,5628,428,181
Parbhani,2013,Criminal Court,27,23246,27,27,19581,3374,133,158
Parbhani,2013,Public Court, ,688, , ,615,59,14,0
Parbhani,2013,Labor Court,1,182,1,1,182,0,0,0
Parbhani,2013,Industrial Court,1,100,1,1,85,10,5, 
Parbhani,2013,Family Court,1,321,1,1,317,4, , 
