Year,District,Select Offense Under,Cases
2018,Buldhana,"The Representation of the People Act, 1951",1
2018,Buldhana,Crime Against Women and Related Acts,0
2018,Buldhana,Children Related Acts,164
2018,Buldhana,Scheduled Castes and Scheduled Tribes Related Acts,7
2018,Buldhana,Information Technology/ Intellectual Property Related Acts,2
2018,Buldhana,"The Negotiable Instruments Act, 1881",0
2018,Buldhana,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Buldhana,"Prevention of Corruption Act, 1988",20
2018,Buldhana,Finance & Economic Acts,20
2018,Buldhana,Environment & Pollution Related Acts,2
2018,Buldhana,Railway Related Acts,0
2018,Buldhana,Telegraph/ Cinematograph Acts,0
2018,Buldhana,"Food, Drugs and Essential Commodities Acts",8
2018,Buldhana,"The Mental Health Act, 1987",0
2018,Chandrapur,"The Arms Act, 1959",11
2018,Chandrapur,"The Narcotic Drugs & Psychotropic Substances Act, 1985",8
2018,Chandrapur,The Gambling Act,517
2018,Chandrapur,"The Excise Act, 1944",0
2018,Chandrapur,Prohibition Act (State),8479
2018,Chandrapur,Indian Railways Act,0
2018,Chandrapur,Essential Commodities Act,9
2018,Chandrapur,"The Antiques and Art Treasures Act, 1972",1
2018,Chandrapur,"The Copy Right Act, 1957",1
2018,Chandrapur,"The Information Technology Act, 2000",24
2018,Chandrapur,"The Electricity Act, 2003",35
2018,Chandrapur,Wildlife Protection Act,0
2018,Chandrapur,Environmental (Protection) Act,0
2018,Chandrapur,The Air & The Water Prevention & Control of Pollution Act,0
2018,Chandrapur,Railway Property (Unlawful Possession) Act,0
2018,Chandrapur,"The Prevention of Damage to Public Property Act, 1984",6
2018,Chandrapur,"The Transplantation of Human Organs Act, 1994",0
2018,Chandrapur,"The Trade Marks Act, 1999",0
2018,Chandrapur,"The Citizenship Act, 1955",0
2018,Chandrapur,"The Representation of the People Act, 1951",1
2018,Chandrapur,Crime Against Women and Related Acts,2
2018,Chandrapur,Children Related Acts,144
2018,Chandrapur,Scheduled Castes and Scheduled Tribes Related Acts,1
2018,Chandrapur,Information Technology/ Intellectual Property Related Acts,25
2018,Chandrapur,"The Negotiable Instruments Act, 1881",0
2018,Chandrapur,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Chandrapur,"Prevention of Corruption Act, 1988",27
2018,Chandrapur,Finance & Economic Acts,27
2018,Chandrapur,Environment & Pollution Related Acts,0
2018,Chandrapur,Railway Related Acts,0
2018,Chandrapur,Telegraph/ Cinematograph Acts,0
2018,Chandrapur,"Food, Drugs and Essential Commodities Acts",12
2018,Chandrapur,"The Mental Health Act, 1987",0
2018,Dhule,"The Arms Act, 1959",34
2018,Dhule,"The Narcotic Drugs & Psychotropic Substances Act, 1985",8
2018,Dhule,The Gambling Act,876
2018,Dhule,"The Excise Act, 1944",0
2018,Dhule,Prohibition Act (State),1205
2018,Dhule,Indian Railways Act,0
2018,Dhule,Essential Commodities Act,5
2018,Dhule,"The Antiques and Art Treasures Act, 1972",0
2018,Dhule,"The Copy Right Act, 1957",0
2018,Dhule,"The Information Technology Act, 2000",0
2018,Dhule,"The Electricity Act, 2003",138
2018,Dhule,Wildlife Protection Act,0
2018,Dhule,Environmental (Protection) Act,0
2018,Dhule,The Air & The Water Prevention & Control of Pollution Act,0
2018,Dhule,Railway Property (Unlawful Possession) Act,0
2018,Dhule,"The Prevention of Damage to Public Property Act, 1984",5
2018,Dhule,"The Transplantation of Human Organs Act, 1994",0
2018,Dhule,"The Trade Marks Act, 1999",0
2018,Dhule,"The Citizenship Act, 1955",0
2018,Dhule,"The Representation of the People Act, 1951",1
2018,Dhule,Crime Against Women and Related Acts,0
2018,Dhule,Children Related Acts,27
2018,Dhule,Scheduled Castes and Scheduled Tribes Related Acts,4
2018,Dhule,Information Technology/ Intellectual Property Related Acts,0
2018,Dhule,"The Negotiable Instruments Act, 1881",0
2018,Dhule,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Dhule,"Prevention of Corruption Act, 1988",23
2018,Dhule,Finance & Economic Acts,23
2018,Dhule,Environment & Pollution Related Acts,1
2018,Dhule,Railway Related Acts,0
2018,Dhule,Telegraph/ Cinematograph Acts,0
2018,Dhule,"Food, Drugs and Essential Commodities Acts",5
2018,Dhule,"The Mental Health Act, 1987",0
2018,Gadchiroli,"The Arms Act, 1959",1
2018,Gadchiroli,"The Narcotic Drugs & Psychotropic Substances Act, 1985",0
2018,Gadchiroli,The Gambling Act,127
2018,Gadchiroli,"The Excise Act, 1944",0
2018,Gadchiroli,Prohibition Act (State),1684
2018,Gadchiroli,Indian Railways Act,0
2018,Gadchiroli,Essential Commodities Act,2
2018,Gadchiroli,"The Antiques and Art Treasures Act, 1972",0
2018,Gadchiroli,"The Copy Right Act, 1957",0
2018,Gadchiroli,"The Information Technology Act, 2000",0
2018,Gadchiroli,"The Electricity Act, 2003",20
2018,Gadchiroli,Wildlife Protection Act,0
2018,Gadchiroli,Environmental (Protection) Act,0
2018,Gadchiroli,The Air & The Water Prevention & Control of Pollution Act,0
2018,Gadchiroli,Railway Property (Unlawful Possession) Act,0
2018,Gadchiroli,"The Prevention of Damage to Public Property Act, 1984",2
2018,Gadchiroli,"The Transplantation of Human Organs Act, 1994",0
2018,Gadchiroli,"The Trade Marks Act, 1999",0
2018,Gadchiroli,"The Citizenship Act, 1955",0
2018,Gadchiroli,"The Representation of the People Act, 1951",0
2018,Gadchiroli,Crime Against Women and Related Acts,0
2018,Gadchiroli,Children Related Acts,39
2018,Gadchiroli,Scheduled Castes and Scheduled Tribes Related Acts,2
2018,Gadchiroli,Information Technology/ Intellectual Property Related Acts,0
2018,Gadchiroli,"The Negotiable Instruments Act, 1881",0
2018,Gadchiroli,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Gadchiroli,"Prevention of Corruption Act, 1988",13
2018,Gadchiroli,Finance & Economic Acts,13
2018,Gadchiroli,Environment & Pollution Related Acts,0
2018,Gadchiroli,Railway Related Acts,0
2018,Gadchiroli,Telegraph/ Cinematograph Acts,0
2018,Gadchiroli,"Food, Drugs and Essential Commodities Acts",2
2018,Gadchiroli,"The Mental Health Act, 1987",0
2018,Gondia,"The Arms Act, 1959",8
2018,Gondia,"The Narcotic Drugs & Psychotropic Substances Act, 1985",2
2018,Gondia,The Gambling Act,234
2018,Gondia,"The Excise Act, 1944",0
2018,Gondia,Prohibition Act (State),2273
2018,Gondia,Indian Railways Act,0
