District,Year,Taluka,Rape,Kidnapping and Abduction,Dowry Cases,Sexual Assault,Unethical Business,Other Crimes against Women,Murder (Womb),Murder (other),Child Rape,Kidnapping and Abduction (Children),Abandonment,Other Crimes against Children
Amravati,2021,Nandgaon Kh,2,2,0,13,0,32,0,0,1.0,2,0,1
Amravati,2021,Chandur Railway,4,5,0,6,0,17,0,0,2.0,5,0,3
Amravati,2021,Dhamangaon Re,10,17,0,29,0,30,0,0,6.0,12,0,5
Beed,2018,Ashti,12,6,0,22,0,25,0,1,9.0,4,0,3
Beed,2018,Patoda,4,3,0,9,0,23,0,0,1.0,4,0,1
Beed,2018,Shirur Kasar,4,1,0,17,0,14,0,0,2.0,1,0,4
Beed,2018,Gevrai,5,5,1,30,0,69,0,2,7.0,11,0,8
Beed,2018,Majalgaon,8,8,2,43,0,70,0,0,8.0,13,1,7
Beed,2018,Wadwani,3,2,1,6,0,16,0,0,1.0,1,0,1
Beed,2018,Beed,6,6,3,47,9,82,0,1,14.0,22,2,11
Beed,2018,Cage,12,8,1,71,0,28,0,0,14.0,17,0,21
Beed,2018,Dharur,5,3,0,19,0,9,0,0,1.0,2,0,5
Beed,2018,Parli,10,8,3,20,0,38,0,2,6.0,11,1,1
Beed,2018,Ambajogai,10,4,1,17,0,17,0,0,3.0,7,0,1
Beed,2019,Ashti,4,0,0,13,0,17,0,0,6.0,5,0,3
Beed,2019,Patoda,2,0,0,10,0,18,1,0,6.0,7,0,3
Beed,2019,Shirur Kasar,3,0,1,8,0,3,0,0,1.0,1,0,0
Beed,2019,Gevrai,3,0,2,40,1,40,0,0,7.0,14,1,8
Beed,2019,Majalgaon,3,0,2,14,0,16,0,1,7.0,7,0,6
Beed,2019,Wadwani,2,0,0,9,0,12,0,0,1.0,3,0,1
Beed,2019,Beed,10,1,3,44,2,68,0,1,15.0,15,2,14
Beed,2019,Cage,6,0,0,21,0,41,0,0,12.0,9,0,5
Beed,2019,Dharur,4,1,0,8,0,8,0,0,2.0,1,0,6
Beed,2019,Parli,3,2,1,26,0,35,0,0,5.0,8,0,4
Beed,2019,Ambajogai,3,0,1,41,0,14,0,1,6.0,16,0,7
Beed,2020,Ashti,2,0,0,37,0,42,0,0,5.0,9,0,5
Beed,2020,Patoda,5,0,0,1,0,7,0,0,1.0,3,0,2
Beed,2020,Shirur Kasar,0,1,0,11,0,11,0,0,3.0,2,0,2
Beed,2020,Gevrai,11,8,0,35,0,73,0,0,5.0,8,1,4
Beed,2020,Majalgaon,12,10,1,33,0,40,0,0,6.0,9,0,5
Beed,2020,Wadwani,3,1,0,4,0,12,0,2,3.0,1,0,1
Beed,2020,Beed,19,4,3,49,0,64,0,2,14.0,10,1,5
Beed,2020,Cage,17,7,0,47,0,41,0,0,10.0,6,0,4
Beed,2020,Dharur,8,3,0,15,0,15,0,0,8.0,3,0,2
Beed,2020,Parli,17,5,1,33,0,33,0,0,11.0,9,2,10
Beed,2020,Ambajogai,9,2,0,37,1,36,0,0,7.0,13,2,11
Beed,2021,Ashti,12,8,0,24,1,50,0,0,9.0,5,2,4
Beed,2021,Patoda,0,2,0,1,0,17,0,0,0.0,1,0,1
Beed,2021,Shirur Kasar,1,3,0,5,0,22,0,0,3.0,1,0,1
Beed,2021,Gevrai,8,12,0,35,1,65,0,0,5.0,2,0,5
Beed,2021,Majalgaon,20,15,2,47,0,67,0,0,14.0,16,1,7
Beed,2021,Wadwani,3,1,0,12,0,19,0,0,3.0,1,0,4
Beed,2021,Beed,9,4,1,40,5,119,0,0,20.0,18,1,7
Beed,2021,Cage,8,1,1,68,2,61,0,0,10.0,8,0,4
Beed,2021,Dharur,4,1,0,16,0,14,0,0,2.0,2,0,1
Beed,2021,Parli,7,4,2,44,0,50,0,1,5.0,9,1,11
Beed,2021,Ambajogai,12,0,0,43,1,45,0,0,7.0,12,1,8
Bhandara,2018,Tumsar,10,11,0,21,0,8,1,0,7.0,16,0,5
Bhandara,2018,Mohadi,2,6,3,7,0,13,0,0,2.0,6,0,0
Bhandara,2018,Bhandara,10,1,0,26,0,30,0,0,9.0,33,0,5
Bhandara,2018,Sakoli,1,0,0,5,0,3,0,0,3.0,5,0,0
Bhandara,2018,Lakhani,4,6,4,0,0,21,0,0,1.0,5,0,0
Bhandara,2018,Pavani,3,0,0,23,0,22,0,0,10.0,9,0,0
Bhandara,2018,Lakhandur,1,0,0,8,0,2,0,0,4.0,11,0,1
Bhandara,2019,Tumsar,13,1,0,8,0,12,1,1,8.0,24,0,3
Bhandara,2019,Mohadi,10,0,0,8,0,15,0,0,8.0,11,0,2
Bhandara,2019,Bhandara,20,1,1,9,0,49,1,0,9.0,30,0,3
Bhandara,2019,Sakoli,3,1,0,1,0,7,0,0,1.0,13,0,3
Bhandara,2019,Lakhani,3,1,0,0,0,13,1,0,0.0,10,0,2
Bhandara,2019,Pavani,6,0,1,3,0,18,1,0,3.0,11,0,5
Bhandara,2019,Lakhandur,3,1,0,3,0,9,0,0,3.0,3,0,1
Bhandara,2020,Tumsar,1,0,0,7,0,15,0,0,6.0,11,0,2
Bhandara,2020,Mohadi,3,0,0,13,0,15,0,1,7.0,5,0,4
Bhandara,2020,Bhandara,4,1,0,23,1,28,0,0,10.0,15,0,2
Bhandara,2020,Sakoli,4,1,0,17,0,13,0,0,4.0,7,0,3
Bhandara,2020,Lakhani,0,0,0,5,0,9,0,0,2.0,11,1,2
Bhandara,2020,Pavani,4,0,0,19,0,22,0,1,6.0,15,0,3
Bhandara,2020,Lakhandur,0,0,0,11,0,6,0,0,2.0,3,0,4
Bhandara,2021,Tumsar,7,0,0,3,0,13,0,0,3.0,14,0,2
Bhandara,2021,Mohadi,6,0,0,4,0,24,0,0,4.0,12,0,3
Bhandara,2021,Bhandara,14,0,0,9,1,50,0,1,9.0,30,0,4
Bhandara,2021,Sakoli,7,0,0,21,0,21,0,0,3.0,4,0,6
Bhandara,2021,Lakhani,9,0,0,3,0,11,0,0,3.0,10,0,3
Bhandara,2021,Pavani,7,0,0,7,0,17,0,0,7.0,19,0,6
Bhandara,2021,Lakhandur,5,0,0,4,0,14,0,0,4.0,5,0,2
Buldhana,2018,Malkapur,15,16,5,101,0,34,0,2,13.0,22,0,33
Buldhana,2018,Khamgaon,23,17,0,113,0,37,0,1,14.0,20,0,46
Buldhana,2018,Mehkar,17,12,3,39,0,35,0,0,13.0,12,0,7
Buldhana,2018,Buldana,19,22,1,105,0,46,0,2,10.0,31,1,36
Buldhana,2018,Deulgaon Raja,2,8,0,27,0,24,0,0,1.0,9,1,6
Buldhana,2019,Jalgaon Jamod,3,0,0,0,0,54,0,2,0.0,12,0,5
Buldhana,2019,Sangrampur,1,0,1,0,0,17,0,0,2.0,3,0,2
Buldhana,2019,Shegaon,7,0,2,25,1,17,0,0,5.0,6,0,9
Buldhana,2019,Nandura,1,1,3,13,0,10,0,0,10.0,7,0,5
Buldhana,2019,Malkapur,5,3,3,16,0,23,0,0,7.0,8,0,10
Buldhana,2019,Motala,5,2,3,0,0,23,0,0,3.0,13,0,0
Buldhana,2019,Khamgaon,3,0,5,46,0,31,0,0,7.0,18,0,27
Buldhana,2019,Mehkar,2,0,14,11,0,2,0,0,1.0,1,0,0
Buldhana,2019,Chikhali,5,0,7,0,0,83,0,1,9.0,19,0,12
Buldhana,2019,Buldana,9,0,3,0,0,65,0,0,16.0,42,0,34
Buldhana,2019,Deulgaon Raja,0,0,2,0,0,62,0,0,3.0,4,0,5
Buldhana,2019,Sindkhed Raja,0,0,3,0,0,32,0,0,1.0,2,0,1
Buldhana,2019,Lonar,3,1,18,12,0,2,0,0,3.0,2,0,0
Buldhana,2020,Jalgaon Jamod,2,0,1,0,0,49,0,0,8.0,7,0,11
Buldhana,2020,Sangrampur,6,0,1,0,0,18,0,1,2.0,5,0,4
Buldhana,2020,Shegaon,15,11,3,30,0,6,0,0,5.0,11,0,9
Buldhana,2020,Nandura,1,1,0,0,0,29,0,0,4.0,7,0,11
Buldhana,2020,Malkapur,2,2,0,0,0,30,0,0,5.0,15,0,7
Buldhana,2020,Motala,10,11,3,1,0,42,0,0,6.0,11,2,3
Buldhana,2020,Khamgaon,18,25,3,113,0,12,0,0,10.0,25,0,19
Buldhana,2020,Mehkar,9,4,35,36,0,1,0,0,7.0,17,1,2
Buldhana,2020,Chikhali,13,14,2,1,0,62,0,1,7.0,20,2,1
Buldhana,2020,Buldana,18,19,0,3,0,69,0,1,8.0,22,1,4
Buldhana,2020,Deulgaon Raja,1,0,0,0,0,103,0,0,0.0,5,0,0
Buldhana,2020,Sindkhed Raja,0,0,0,0,0,88,0,1,1.0,3,1,2
Buldhana,2020,Lonar,3,0,14,32,0,0,0,0,3.0,2,0,0
Buldhana,2021,Jalgaon Jamod,1,1,2,0,0,36,0,0,8.0,9,1,6
Buldhana,2021,Sangrampur,0,0,0,0,0,0,0,0,0.0,0,0,0
Buldhana,2021,Shegaon,6,0,0,0,2,24,0,0,4.0,15,0,6
Buldhana,2021,Nandura,3,0,2,37,0,11,0,0,3.0,9,0,10
Buldhana,2021,Malkapur,1,2,11,16,0,28,0,0,5.0,7,0,8
Buldhana,2021,Motala,2,6,0,3,0,10,0,0,0.0,0,0,0
Buldhana,2021,Khamgaon,9,12,12,22,0,48,0,0,8.0,8,3,7
Buldhana,2021,Mehkar,1,0,0,22,0,0,0,0,2.0,9,0,0
Buldhana,2021,Chikhali,6,15,2,0,4,0,0,0,2.0,13,0,0
Buldhana,2021,Buldana,14,2,0,0,0,65,0,0,5.0,6,0,3
Buldhana,2021,Deulgaon Raja,2,0,1,0,0,35,0,0,4.0,4,0,4
Buldhana,2021,Sindkhed Raja,1,0,0,13,0,4,0,0,0.0,3,0,0
Buldhana,2021,Lonar,2,0,0,0,0,4,0,0,1.0,1,0,0
Chandrapur,2018,Varora,9,8,0,9,0,26,0,0,6.0,17,0,0
Chandrapur,2018,Chimur,6,13,1,6,0,11,0,0,5.0,12,0,0
Chandrapur,2018,Nagbhid,7,7,0,6,0,19,0,0,5.0,15,0,0
Chandrapur,2018,Bramhapuri,6,10,0,7,0,15,0,2,4.0,8,0,0
Chandrapur,2018,Savali,5,3,0,6,0,9,0,0,2.0,6,0,0
Chandrapur,2018,Sindevahi,7,4,0,6,0,11,0,0,3.0,9,0,0
Chandrapur,2018,Bhadravati,8,11,0,6,0,15,0,0,6.0,12,0,0
Chandrapur,2018,Chandrapur,11,51,1,20,2,31,1,0,7.0,30,0,0
Chandrapur,2018,Mul,7,16,0,9,0,22,0,0,3.0,10,0,0
Chandrapur,2018,Ponbhurna,3,0,0,4,0,12,0,0,1.0,8,0,0
Chandrapur,2018,Ballarpur,12,9,1,14,0,29,1,1,6.0,22,0,0
Chandrapur,2018,Korpana,7,8,0,6,0,11,0,0,3.0,10,0,0
Chandrapur,2018,Rajura,8,8,0,8,0,17,0,0,3.0,5,0,0
Chandrapur,2018,Gondpipari,3,5,0,5,0,9,0,0,1.0,6,0,0
Chandrapur,2018,Jivati,3,1,0,2,0,6,0,0,1.0,8,0,0
Chandrapur,2019,Varora,9,11,0,28,0,7,0,0,9.0,11,0,10
Chandrapur,2019,Chimur,1,8,1,10,0,6,0,0,0.0,9,0,1
Chandrapur,2019,Nagbhid,0,1,1,0,0,3,0,0,3.0,3,0,1
Chandrapur,2019,Bramhapuri,1,15,1,8,0,0,0,0,3.0,16,0,7
Chandrapur,2019,Savali,1,14,0,8,0,1,0,0,3.0,14,0,4
Chandrapur,2019,Sindevahi,0,7,0,5,0,0,0,0,2.0,3,0,6
Chandrapur,2019,Bhadravati,3,11,0,20,0,10,0,0,3.0,14,0,6
Chandrapur,2019,Chandrapur,13,50,0,66,0,81,0,0,9.0,78,0,23
Chandrapur,2019,Mul,5,10,0,5,0,3,0,0,2.0,13,0,4
Chandrapur,2019,Ponbhurna,0,11,0,2,0,0,0,0,4.0,12,0,0
Chandrapur,2019,Ballarpur,4,12,0,15,0,11,0,0,7.0,19,0,4
Chandrapur,2019,Korpana,5,12,0,13,0,2,0,0,6.0,12,0,8
Chandrapur,2019,Rajura,1,17,0,20,0,6,0,0,6.0,18,0,4
Chandrapur,2019,Gondpipari,1,3,0,7,0,6,0,0,2.0,5,0,3
Chandrapur,2019,Jivati,2,4,0,6,0,2,0,0,2.0,3,0,1
Chandrapur,2020,Varora,3,0,0,17,0,49,0,0,11.0,9,1,9
Chandrapur,2020,Chimur,2,0,0,11,0,33,1,0,4.0,11,0,2
Chandrapur,2020,Nagbhid,1,0,1,5,0,18,0,0,1.0,10,0,2
Chandrapur,2020,Bramhapuri,2,0,0,11,0,28,0,0,3.0,9,0,4
Chandrapur,2020,Savali,0,0,1,6,0,10,0,0,3.0,5,0,2
Chandrapur,2020,Sindevahi,0,0,0,8,0,17,0,0,1.0,0,0,0
Chandrapur,2020,Bhadravati,4,0,0,15,0,24,0,0,12.0,9,0,4
Chandrapur,2020,Chandrapur,16,0,0,54,3,142,0,0,15.0,44,0,13
Chandrapur,2020,Mul,3,0,0,8,0,6,0,0,7.0,11,0,4
Chandrapur,2020,Ponbhurna,2,0,0,1,0,4,0,0,1.0,1,0,1
Chandrapur,2020,Ballarpur,5,0,0,7,0,20,0,0,1.0,12,1,5
Chandrapur,2020,Korpana,3,0,0,10,0,30,0,0,3.0,13,0,4
Chandrapur,2020,Rajura,2,0,0,7,0,30,0,0,3.0,10,0,1
Chandrapur,2020,Gondpipari,3,0,0,8,0,37,0,0,1.0,2,0,1
Chandrapur,2020,Jivati,0,0,0,0,0,4,0,0,1.0,1,0,0
Chandrapur,2021,Varora,2,0,0,18,0,89,0,0,8.0,31,0,7
Chandrapur,2021,Chimur,2,0,0,6,0,39,1,1,5.0,6,0,6
Chandrapur,2021,Nagbhid,1,0,0,5,0,36,0,0,4.0,10,1,6
Chandrapur,2021,Bramhapuri,2,0,0,9,0,50,0,1,6.0,20,1,3
Chandrapur,2021,Savali,0,0,0,4,0,15,0,0,1.0,8,0,0
Chandrapur,2021,Sindevahi,0,0,0,2,0,14,0,0,4.0,4,1,2
Chandrapur,2021,Bhadravati,4,0,0,10,0,17,0,0,3.0,8,0,9
Chandrapur,2021,Chandrapur,15,0,0,69,2,159,0,0,16.0,62,3,20
Chandrapur,2021,Mul,1,0,0,5,0,7,0,0,6.0,12,0,0
Chandrapur,2021,Ponbhurna,0,0,0,2,0,6,0,0,1.0,2,0,0
Chandrapur,2021,Ballarpur,4,0,0,37,0,21,0,0,5.0,12,0,6
Chandrapur,2021,Korpana,0,0,0,9,0,46,0,0,5.0,13,0,4
Chandrapur,2021,Rajura,3,0,0,15,0,37,0,0,1.0,17,0,4
Chandrapur,2021,Gondpipari,0,0,0,4,0,23,0,0,3.0,9,0,3
Chandrapur,2021,Jivati,0,0,0,4,0,15,1,0,2.0,0,0,2
Dhule,2018,Shirpur,3,2,0,10,,39,,,7.0,18,0,1
Dhule,2018,Shindkheda,0,1,0,18,,33,,,4.0,16,1,0
Dhule,2018,Sakri,3,1,0,25,,14,,,5.0,10,0,1
Dhule,2018,Dhule,7,2,1,91,,157,,,6.0,47,1,0
