Year,District,Crime,Cases
2020,Solapur,Rape/Attempt to Rape,
2020,Thane,Rape/Attempt to Rape,
2020,Wardha,Rape/Attempt to Rape,
2020,Washim,Rape/Attempt to Rape,
2020,Yavatmal,Rape/Attempt to Rape,
2021,Ahilyanagar,Rape/Attempt to Rape,
2021,Akola,Rape/Attempt to Rape,
2021,Amravati,Rape/Attempt to Rape,
2021,Chhatrapati Sambhaji Nagar,Rape/Attempt to Rape,
2021,Beed,Rape/Attempt to Rape,
2021,Bhandara,Rape/Attempt to Rape,
2021,Buldhana,Rape/Attempt to Rape,
2021,Chandrapur,Rape/Attempt to Rape,
2021,Dhule,Rape/Attempt to Rape,
2021,Gadchiroli,Rape/Attempt to Rape,
2021,Gondia,Rape/Attempt to Rape,
2021,Hingoli,Rape/Attempt to Rape,
2021,Jalgaon,Rape/Attempt to Rape,
2021,Jalna,Rape/Attempt to Rape,
2021,Kolhapur,Rape/Attempt to Rape,
2021,Latur,Rape/Attempt to Rape,
2021,Mumbai City,Rape/Attempt to Rape,
2021,Nagpur,Rape/Attempt to Rape,
2021,Nanded,Rape/Attempt to Rape,
2021,Nandurbar,Rape/Attempt to Rape,
2021,Nasik,Rape/Attempt to Rape,
2021,Dharashiv,Rape/Attempt to Rape,
2021,Palghar,Rape/Attempt to Rape,
2021,Parbhani,Rape/Attempt to Rape,
2021,Pune,Rape/Attempt to Rape,
2021,Raigad,Rape/Attempt to Rape,
2021,Ratnagiri,Rape/Attempt to Rape,
2021,Sangli,Rape/Attempt to Rape,
2021,Satara,Rape/Attempt to Rape,
2021,Sindhudurg,Rape/Attempt to Rape,
2021,Solapur,Rape/Attempt to Rape,
2021,Thane,Rape/Attempt to Rape,
2021,Wardha,Rape/Attempt to Rape,
2021,Washim,Rape/Attempt to Rape,
2021,Yavatmal,Rape/Attempt to Rape,
2014,Ahilyanagar,Kidnapping & Abduction,85.0
2014,Akola,Kidnapping & Abduction,32.0
2014,Amravati,Kidnapping & Abduction,83.0
2014,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,63.0
2014,Beed,Kidnapping & Abduction,49.0
2014,Bhandara,Kidnapping & Abduction,18.0
2014,Buldhana,Kidnapping & Abduction,33.0
2014,Chandrapur,Kidnapping & Abduction,39.0
2014,Dhule,Kidnapping & Abduction,40.0
2014,Gadchiroli,Kidnapping & Abduction,6.0
2014,Gondia,Kidnapping & Abduction,19.0
2014,Hingoli,Kidnapping & Abduction,16.0
2014,Jalgaon,Kidnapping & Abduction,76.0
2014,Jalna,Kidnapping & Abduction,31.0
2014,Kolhapur,Kidnapping & Abduction,47.0
2014,Latur,Kidnapping & Abduction,84.0
2014,Mumbai City,Kidnapping & Abduction,290.0
2014,Nagpur,Kidnapping & Abduction,125.0
2014,Nanded,Kidnapping & Abduction,53.0
2014,Nandurbar,Kidnapping & Abduction,17.0
2014,Nasik,Kidnapping & Abduction,118.0
2014,Dharashiv,Kidnapping & Abduction,21.0
2014,Palghar,Kidnapping & Abduction,65.0
2014,Parbhani,Kidnapping & Abduction,27.0
2014,Pune,Kidnapping & Abduction,228.0
2014,Raigad,Kidnapping & Abduction,27.0
2014,Ratnagiri,Kidnapping & Abduction,8.0
2014,Sangli,Kidnapping & Abduction,48.0
2014,Satara,Kidnapping & Abduction,69.0
2014,Sindhudurg,Kidnapping & Abduction,8.0
2014,Solapur,Kidnapping & Abduction,102.0
2014,Thane,Kidnapping & Abduction,345.0
2014,Wardha,Kidnapping & Abduction,28.0
2014,Washim,Kidnapping & Abduction,22.0
2014,Yavatmal,Kidnapping & Abduction,135.0
2015,Ahilyanagar,Kidnapping & Abduction,148.0
2015,Akola,Kidnapping & Abduction,47.0
2015,Amravati,Kidnapping & Abduction,178.0
2015,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,133.0
2015,Beed,Kidnapping & Abduction,60.0
2015,Bhandara,Kidnapping & Abduction,52.0
2015,Buldhana,Kidnapping & Abduction,21.0
2015,Chandrapur,Kidnapping & Abduction,99.0
2015,Dhule,Kidnapping & Abduction,24.0
2015,Gadchiroli,Kidnapping & Abduction,18.0
2015,Gondia,Kidnapping & Abduction,55.0
2015,Hingoli,Kidnapping & Abduction,25.0
2015,Jalgaon,Kidnapping & Abduction,88.0
2015,Jalna,Kidnapping & Abduction,69.0
2015,Kolhapur,Kidnapping & Abduction,158.0
2015,Latur,Kidnapping & Abduction,68.0
2015,Mumbai City,Kidnapping & Abduction,920.0
2015,Nagpur,Kidnapping & Abduction,296.0
2015,Nanded,Kidnapping & Abduction,61.0
2015,Nandurbar,Kidnapping & Abduction,22.0
2015,Nasik,Kidnapping & Abduction,226.0
2015,Dharashiv,Kidnapping & Abduction,46.0
2015,Palghar,Kidnapping & Abduction,249.0
2015,Parbhani,Kidnapping & Abduction,40.0
2015,Pune,Kidnapping & Abduction,641.0
2015,Raigad,Kidnapping & Abduction,50.0
2015,Ratnagiri,Kidnapping & Abduction,28.0
2015,Sangli,Kidnapping & Abduction,95.0
2015,Satara,Kidnapping & Abduction,150.0
2015,Sindhudurg,Kidnapping & Abduction,13.0
2015,Solapur,Kidnapping & Abduction,144.0
2015,Thane,Kidnapping & Abduction,667.0
2015,Wardha,Kidnapping & Abduction,56.0
2015,Washim,Kidnapping & Abduction,34.0
2015,Yavatmal,Kidnapping & Abduction,115.0
2016,Ahilyanagar,Kidnapping & Abduction,179.0
2016,Akola,Kidnapping & Abduction,56.0
2016,Amravati,Kidnapping & Abduction,161.0
2016,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,167.0
2016,Beed,Kidnapping & Abduction,74.0
2016,Bhandara,Kidnapping & Abduction,51.0
2016,Buldhana,Kidnapping & Abduction,50.0
2016,Chandrapur,Kidnapping & Abduction,79.0
2016,Dhule,Kidnapping & Abduction,54.0
2016,Gadchiroli,Kidnapping & Abduction,23.0
2016,Gondia,Kidnapping & Abduction,49.0
2016,Hingoli,Kidnapping & Abduction,14.0
2016,Jalgaon,Kidnapping & Abduction,87.0
2016,Jalna,Kidnapping & Abduction,46.0
2016,Kolhapur,Kidnapping & Abduction,133.0
2016,Latur,Kidnapping & Abduction,102.0
2016,Mumbai City,Kidnapping & Abduction,1159.0
2016,Nagpur,Kidnapping & Abduction,459.0
2016,Nanded,Kidnapping & Abduction,76.0
2016,Nandurbar,Kidnapping & Abduction,31.0
2016,Nasik,Kidnapping & Abduction,300.0
2016,Dharashiv,Kidnapping & Abduction,41.0
2016,Palghar,Kidnapping & Abduction,279.0
2016,Parbhani,Kidnapping & Abduction,49.0
2016,Pune,Kidnapping & Abduction,890.0
2016,Raigad,Kidnapping & Abduction,53.0
2016,Ratnagiri,Kidnapping & Abduction,48.0
2016,Sangli,Kidnapping & Abduction,119.0
2016,Satara,Kidnapping & Abduction,165.0
2016,Sindhudurg,Kidnapping & Abduction,21.0
2016,Solapur,Kidnapping & Abduction,162.0
2016,Thane,Kidnapping & Abduction,790.0
2016,Wardha,Kidnapping & Abduction,76.0
2016,Washim,Kidnapping & Abduction,38.0
2016,Yavatmal,Kidnapping & Abduction,88.0
2017,Ahilyanagar,Kidnapping & Abduction,148.0
2017,Akola,Kidnapping & Abduction,47.0
2017,Amravati,Kidnapping & Abduction,178.0
2017,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,133.0
2017,Beed,Kidnapping & Abduction,60.0
2017,Bhandara,Kidnapping & Abduction,52.0
2017,Buldhana,Kidnapping & Abduction,21.0
2017,Chandrapur,Kidnapping & Abduction,99.0
2017,Dhule,Kidnapping & Abduction,24.0
2017,Gadchiroli,Kidnapping & Abduction,18.0
2017,Gondia,Kidnapping & Abduction,55.0
2017,Hingoli,Kidnapping & Abduction,25.0
2017,Jalgaon,Kidnapping & Abduction,88.0
2017,Jalna,Kidnapping & Abduction,69.0
2017,Kolhapur,Kidnapping & Abduction,158.0
2017,Latur,Kidnapping & Abduction,68.0
2017,Mumbai City,Kidnapping & Abduction,920.0
2017,Nagpur,Kidnapping & Abduction,296.0
2017,Nanded,Kidnapping & Abduction,61.0
2017,Nandurbar,Kidnapping & Abduction,22.0
2017,Nasik,Kidnapping & Abduction,226.0
2017,Dharashiv,Kidnapping & Abduction,46.0
2017,Palghar,Kidnapping & Abduction,249.0
2017,Parbhani,Kidnapping & Abduction,40.0
2017,Pune,Kidnapping & Abduction,641.0
