Year,District,Crime,Cases
2018,Kolhapur,Missing Children Deemed as Kidnapped,30.0
2018,Latur,Missing Children Deemed as Kidnapped,
2018,Mumbai,Missing Children Deemed as Kidnapped,70.0
2018,Nagpur,Missing Children Deemed as Kidnapped,28.0
2018,Nanded,Missing Children Deemed as Kidnapped,117.0
2018,Nandurbar,Missing Children Deemed as Kidnapped,8.0
2018,Nashik,Missing Children Deemed as Kidnapped,273.0
2018,Dharashiv,Missing Children Deemed as Kidnapped,38.0
2018,Palghar,Missing Children Deemed as Kidnapped,446.0
2018,Parbhani,Missing Children Deemed as Kidnapped,67.0
2018,Pune,Missing Children Deemed as Kidnapped,744.0
2018,Raigad,Missing Children Deemed as Kidnapped,88.0
2018,Ratnagiri,Missing Children Deemed as Kidnapped,75.0
2018,Sangli,Missing Children Deemed as Kidnapped,157.0
2018,Satara,Missing Children Deemed as Kidnapped,151.0
2018,Sindhudurg,Missing Children Deemed as Kidnapped,
2018,Solapur,Missing Children Deemed as Kidnapped,166.0
2018,Thane,Missing Children Deemed as Kidnapped,722.0
2018,Wardha,Missing Children Deemed as Kidnapped,
2018,Washim,Missing Children Deemed as Kidnapped,16.0
2018,Yavatmal,Missing Children Deemed as Kidnapped,
2019,Ahilyanagar,Missing Children Deemed as Kidnapped,156.0
2019,Akola,Missing Children Deemed as Kidnapped,74.0
2019,Amravati,Missing Children Deemed as Kidnapped,133.0
2019,Chh. Sambhaji Nagar,Missing Children Deemed as Kidnapped,266.0
2019,Beed,Missing Children Deemed as Kidnapped,71.0
2019,Bhandara,Missing Children Deemed as Kidnapped,104.0
2019,Buldhana,Missing Children Deemed as Kidnapped,36.0
2019,Chandrapur,Missing Children Deemed as Kidnapped,123.0
2019,Dhule,Missing Children Deemed as Kidnapped,74.0
2019,Gadchiroli,Missing Children Deemed as Kidnapped,46.0
2019,Gondia,Missing Children Deemed as Kidnapped,
2019,Hingoli,Missing Children Deemed as Kidnapped,
2019,Jalgaon,Missing Children Deemed as Kidnapped,
2019,Jalna,Missing Children Deemed as Kidnapped,
2019,Kolhapur,Missing Children Deemed as Kidnapped,45.0
2019,Latur,Missing Children Deemed as Kidnapped,
2019,Mumbai,Missing Children Deemed as Kidnapped,888.0
2019,Nagpur,Missing Children Deemed as Kidnapped,36.0
2019,Nanded,Missing Children Deemed as Kidnapped,132.0
2019,Nandurbar,Missing Children Deemed as Kidnapped,28.0
2019,Nashik,Missing Children Deemed as Kidnapped,297.0
2019,Dharashiv,Missing Children Deemed as Kidnapped,36.0
2019,Palghar,Missing Children Deemed as Kidnapped,480.0
2019,Parbhani,Missing Children Deemed as Kidnapped,104.0
2019,Pune,Missing Children Deemed as Kidnapped,720.0
2019,Raigad,Missing Children Deemed as Kidnapped,121.0
2019,Ratnagiri,Missing Children Deemed as Kidnapped,67.0
2019,Sangli,Missing Children Deemed as Kidnapped,52.0
2019,Satara,Missing Children Deemed as Kidnapped,124.0
2019,Sindhudurg,Missing Children Deemed as Kidnapped,5.0
2019,Solapur,Missing Children Deemed as Kidnapped,178.0
2019,Thane,Missing Children Deemed as Kidnapped,1188.0
