Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2011,Bhandara,Born elsewhere in the district of enumeration,340436,102808,237628,273892,73146,200746,66544,29662,36882
2011,Bhandara,Born in other districts of the state,140171,37610,102561,93464,19782,73682,46707,17828,28879
2011,Gondia,Born in the place of enumeration,804992,525568,279424,691789,457024,234765,113203,68544,44659
2011,Gondia,Born elsewhere in the district of enumeration,342706,90236,252470,288780,66558,222222,53926,23678,30248
2011,Gondia,Born in other districts of the state,98918,25709,73209,68319,14357,53962,30599,11352,19247
2011,Gadchiroli,Born in the place of enumeration,561109,344535,216574,518912,319355,199557,42197,25180,17017
2011,Gadchiroli,Born elsewhere in the district of enumeration,344905,138289,206616,309987,120629,189358,34918,17660,17258
2011,Gadchiroli,Born in other districts of the state,123837,42682,81155,87633,27197,60436,36204,15485,20719
2011,Chandrapur,Born in the place of enumeration,1051995,673958,378037,733725,490884,242841,318270,183074,135196
2011,Chandrapur,Born elsewhere in the district of enumeration,745767,287674,458093,519032,177141,341891,226735,110533,116202
2011,Chandrapur,Born in other districts of the state,296041,109951,186090,144802,44005,100797,151239,65946,85293
2011,Yavatmal,Born in the place of enumeration,1561217,998894,562323,1278301,830515,447786,282916,168379,114537
2011,Yavatmal,Born elsewhere in the district of enumeration,833557,304300,529257,658475,220101,438374,175082,84199,90883
2011,Yavatmal,Born in other districts of the state,334227,99626,234601,211699,54939,156760,122528,44687,77841
2011,Nanded,Born in the place of enumeration,2205749,1414858,790891,1678390,1113151,565239,527359,301707,225652
2011,Nanded,Born elsewhere in the district of enumeration,836848,231992,604856,592102,116647,475455,244746,115345,129401
2011,Nanded,Born in other districts of the state,234777,64742,170035,131858,23293,108565,102919,41449,61470
2011,Hingoli,Born in the place of enumeration,778916,520588,258328,672603,457449,215154,106313,63139,43174
2011,Hingoli,Born elsewhere in the district of enumeration,235426,53404,182022,205397,39114,166283,30029,14290,15739
