Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Buldana,Unclassifiable,0,0,0,0,0,0,0,0,0
1991,Akola,Born in India,2210881,1140438,1070443,1579280,812547,766733,631601,327891,303710
1991,Akola,Born Abroad,3390,1710,1680,660,310,350,2730,1400,1330
1991,Akola,Unclassifiable,0,0,0,0,0,0,0,0,0
1991,Amravati,Born in India,2197277,1135004,1062273,1482798,763444,719354,714479,371560,342919
1991,Amravati,Born Abroad,2760,1300,1460,120,70,50,2640,1230,1410
1991,Amravati,Unclassifiable,20,10,10,10,0,10,10,10,0
1991,Yavatmal,Born in India,2076324,1064082,1012242,1719823,878897,840926,356501,185185,171316
1991,Yavatmal,Born Abroad,580,280,300,150,60,90,430,220,210
1991,Yavatmal,Unclassifiable,240,60,180,240,60,180,0,0,0
1991,Wardha,Born in India,1065938,549670,516268,783670,403373,380297,282268,146297,135971
1991,Wardha,Born Abroad,1289,600,689,110,90,20,1179,510,669
1991,Wardha,Unclassifiable,130,100,30,60,40,20,70,60,10
1991,Nagpur,Born in India,3278589,1705894,1572695,1255855,649730,606125,2022734,1056164,966570
1991,Nagpur,Born Abroad,7760,4110,3650,250,140,110,7510,3970,3540
1991,Nagpur,Unclassifiable,790,400,390,120,30,90,670,370,300
1991,Bhandara,Born in India,2102536,1057735,1044801,1828782,917533,911249,273754,140202,133552
1991,Bhandara,Born Abroad,4843,2450,2393,2833,1350,1483,2010,1100,910
1991,Bhandara,Unclassifiable,250,90,160,120,30,90,130,60,70
1991,Chandrapur,Born in India,1769074,908237,860837,1274721,647984,626737,494353,260253,234100
1991,Chandrapur,Born Abroad,2900,1540,1360,450,250,200,2450,1290,1160
1991,Chandrapur,Unclassifiable,20,10,10,0,0,0,20,10,10
1991,Gadchiroli,Born in India,773820,391124,382696,705445,355294,350151,68375,35830,32545
1991,Gadchiroli,Born Abroad,13150,7230,5920,12960,7170,5790,190,60,130
1991,Gadchiroli,Unclassifiable,40,10,30,40,10,30,0,0,0
2001,Nandurbar,Born in India,1310915,663087,647828,1108919,558433,550486,201996,104654,97342
2001,Nandurbar,Born Abroad,794,424,370,117,80,37,677,344,333
2001,Nandurbar,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Dhule,Born in India,1706651,877769,828882,1261954,646302,615652,444697,231467,213230
2001,Dhule,Born Abroad,1296,603,693,108,62,46,1188,541,647
2001,Dhule,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Jalgaon,Born in India,3680021,1904183,1775838,2629722,1356938,1272784,1050299,547245,503054
2001,Jalgaon,Born Abroad,2669,1310,1359,174,93,81,2495,1217,1278
2001,Jalgaon,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Buldhana,Born in India,2231873,1147100,1084773,1759028,902405,856623,472845,244695,228150
2001,Buldhana,Born Abroad,605,303,302,67,40,27,538,263,275
2001,Buldhana,Unclassifiable,2,0,2,2,0,2,0,0,0
2001,Akola,Born in India,1628714,840586,788128,1002704,517448,485256,626010,323138,302872
2001,Akola,Born Abroad,1525,667,858,38,17,21,1487,650,837
2001,Akola,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Washim,Born in India,1019984,525972,494012,841746,433743,408003,178238,92229,86009
2001,Washim,Born Abroad,232,122,110,25,23,2,207,99,108
2001,Washim,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Amravati,Born in India,2604315,1344269,1260046,1707523,880350,827173,896792,463919,432873
2001,Amravati,Born Abroad,2845,1345,1500,58,37,21,2787,1308,1479
2001,Amravati,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Wardha,Born in India,1235937,638587,597350,911565,470536,441029,324372,168051,156321
2001,Wardha,Born Abroad,799,403,396,130,74,56,669,329,340
2001,Wardha,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Nagpur,Born in India,4058848,2100611,1958237,1453653,751344,702309,2605195,1349267,1255928
2001,Nagpur,Born Abroad,8787,4702,4085,233,172,61,8554,4530,4024
2001,Nagpur,Unclassifiable,2,1,1,0,0,0,2,1,1
2001,Bhandara,Born in India,1135695,573206,562489,960271,483686,476585,175424,89520,85904
2001,Bhandara,Born Abroad,451,239,212,147,82,65,304,157,147
2001,Bhandara,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Gondia,Born in India,1197260,597105,600155,1054764,524750,530014,142496,72355,70141
2001,Gondia,Born Abroad,3447,1729,1718,2512,1272,1240,935,457,478
2001,Gondia,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Gadchiroli,Born in India,957416,484453,472963,890318,450080,440238,67098,34373,32725
2001,Gadchiroli,Born Abroad,12878,6648,6230,12715,6567,6148,163,81,82
