Year,District,Rural/Urban,Location,Tap,Handpump,Tubewell,Well,All Others
2001,Kolhapur,Rural,Within Premises,254254,8244,9902,11927,1854
2001,Kolhapur,Rural,Near Premises,76848,20425,14802,22655,12472
2001,Kolhapur,Rural,Away,9815,6076,6112,18226,8295
2001,Kolhapur,Urban,Total,189771,5452,7444,3022,2927
2001,Kolhapur,Urban,Within Premises,160316,1239,4280,854,507
2001,Kolhapur,Urban,Near Premises,24204,2965,2071,1228,823
2001,Kolhapur,Urban,Away,5251,1248,1093,940,1597
2001,Sangli,Total,Total,324491,43353,33890,80836,12619
2001,Sangli,Total,Within Premises,235572,12574,15187,23176,1309
2001,Sangli,Total,Near Premises,72389,22735,11838,35203,6608
2001,Sangli,Total,Away,16530,8044,6865,22457,4702
2001,Sangli,Rural,Total,222130,35155,27384,77926,9942
2001,Sangli,Rural,Within Premises,153224,9206,10744,22108,833
2001,Sangli,Rural,Near Premises,56684,19451,10693,34046,5552
2001,Sangli,Rural,Away,12222,6498,5947,21772,3557
2001,Sangli,Urban,Total,102361,8198,6506,2910,2677
2001,Sangli,Urban,Within Premises,82348,3368,4443,1068,476
2001,Sangli,Urban,Near Premises,15705,3284,1145,1157,1056
2001,Sangli,Urban,Away,4308,1546,918,685,1145
2011,Ahilyanagar,Rural,Away,23923,17932,12040,81084,17059
2011,Ahilyanagar,Rural,Near premises,63993,29967,23068,104304,11874
2011,Ahilyanagar,Rural,Within premises,206751,12352,33611,79760,0
2011,Ahilyanagar,Total,Away,28587,19968,12737,82784,18449
2011,Ahilyanagar,Total,Near premises,78778,31701,24535,106279,14463
2011,Ahilyanagar,Total,Within premises,346933,13738,39652,83144,0
2011,Ahilyanagar,Urban,Away,4664,2036,697,1700,1390
2011,Ahilyanagar,Urban,Near premises,14785,1734,1467,1975,2589
2011,Ahilyanagar,Urban,Within premises,140182,1386,6041,3384,0
2011,Akola,Rural,Away,14499,22596,822,11799,2688
2011,Akola,Rural,Near premises,42641,38483,1284,12575,1166
2011,Akola,Rural,Within premises,79685,4436,7778,7300,0
2011,Akola,Total,Away,21736,29489,4940,12561,3277
2011,Akola,Total,Near premises,59000,47521,6510,13481,2026
2011,Akola,Total,Within premises,148799,7841,24929,9025,0
2011,Akola,Urban,Away,7237,6893,4118,762,589
2011,Akola,Urban,Near premises,16359,9038,5226,906,860
2011,Akola,Urban,Within premises,69114,3405,17151,1725,0
2011,Amravati,Rural,Away,25233,19228,606,18409,1374
