Year,District,Rural/Urban,Working Population,Male,Female,Main Worker Population,Male Main Workers,Female Main Workers,Marginal Worker Population,Male Marginal Workers,Female Marginal Workers,Unnamed: 12,Unnamed: 13,Unnamed: 14
2001,Solapur,Rural,1328183,754876,573307,1103234,684067,419167,224949,70809,154140,,,
2001,Solapur,Urban,414858,301306,113552,382733,285221,97512,32125,16085,16040,,,
2001,Satara,Rural,1175071,654941,520130,928518,583053,345465,246553,71888,174665,,,
2001,Satara,Urban,128587,100893,27694,116471,94659,21812,12116,6234,5882,,,
2001,Ratnagiri,Rural,698319,355188,343131,498822,289283,209539,199497,65905,133592,,,
2001,Ratnagiri,Urban,65068,51592,13476,58791,48505,10286,6277,3087,3190,,,
2001,Sindhudurg,Rural,375899,206000,169899,210484,142216,68268,165415,63784,101631,,,
2001,Sindhudurg,Urban,29086,22357,6729,23343,19273,4070,5743,3084,2659,,,
2001,Kolhapur,Rural,1303867,734316,569551,1066918,664113,402805,236949,70203,166746,,,
2001,Kolhapur,Urban,349103,288711,60392,327964,278499,49465,21139,10212,10927,,,
2001,Sangli,Rural,1003387,573265,430122,760576,507962,252614,242811,65303,177508,,,
2001,Sangli,Urban,215268,167164,48104,191665,156594,35071,23603,10570,13033,,,
2011,Nandurbar,Rural,701564,373629,327935,584986,333204,251782,116578,40425,76153,,,
2011,Nandurbar,Urban,90501,69269,21232,79207,62724,16483,11294,6545,4749,,,
2011,Dhule,Rural,758086,425469,332617,663077,391024,272053,95009,34445,60564,,,
2011,Dhule,Urban,178284,144979,33305,162798,135243,27555,15486,9736,5750,,,
2011,Jalgaon,Rural,1427691,837159,590532,1259810,766492,493318,167881,70667,97214,,,
2011,Jalgaon,Urban,435880,349313,86567,384145,316444,67701,51735,32869,18866,,,
2011,Buldhana,Rural,1038597,590821,447776,945137,552106,393031,93460,38715,54745,,,
2011,Buldhana,Urban,181044,143203,37841,162405,130532,31873,18639,12671,5968,,,
2011,Akola,Rural,529354,326674,202680,469517,299554,169963,59837,27120,32717,,,
2011,Akola,Urban,238800,193688,45112,221508,181359,40149,17292,12329,4963,,,
2011,Washim,Rural,500572,285189,215383,440589,258773,181816,59983,26416,33567,,,
2011,Washim,Urban,69220,55164,14056,62166,50469,11697,7054,4695,2359,,,
2011,Amravati,Rural,892101,558217,333884,754483,499510,254973,137618,58707,78911,,,
2011,Amravati,Urban,344221,279360,64861,307061,254172,52889,37160,25188,11972,,,
2011,Wardha,Rural,460778,277083,183695,399804,253277,146527,60974,23806,37168,,,
2011,Wardha,Urban,147457,115233,32224,129819,104575,25244,17638,10658,6980,,,
2011,Nagpur,Rural,747999,456023,291976,632330,404990,227340,115669,51033,64636,,,
