Year,District,Rural/Urban,Age Group,Population,Male,Female
1991,Dhule,Rural,20-24,164939.0,80679.0,84260.0
1991,Dhule,Rural,25-29,157871.0,76791.0,81080.0
1991,Dhule,Rural,30-34,139417.0,68600.0,70817.0
1991,Dhule,Rural,35-39,123127.0,65927.0,57200.0
1991,Dhule,Rural,40-44,98580.0,48890.0,49690.0
1991,Dhule,Rural,45-49,89177.0,45560.0,43617.0
1991,Dhule,Rural,50-54,74313.0,37253.0,37060.0
1991,Dhule,Rural,55-59,61150.0,31200.0,29950.0
1991,Dhule,Rural,60-64,53920.0,26810.0,27110.0
1991,Dhule,Rural,65-69,34690.0,16870.0,17820.0
1991,Dhule,Rural,70-74,23140.0,10570.0,12570.0
1991,Dhule,Rural,75-79,9910.0,4710.0,5200.0
1991,Dhule,Rural,80+,10740.0,4910.0,5830.0
1991,Dhule,Urban,0-4,59740.0,30580.0,29160.0
1991,Dhule,Urban,5-9,66231.0,34591.0,31640.0
1991,Dhule,Urban,10-14,68166.0,35594.0,32572.0
1991,Dhule,Urban,15-19,57389.0,31795.0,25594.0
1991,Dhule,Urban,20-24,50323.0,26554.0,23769.0
1991,Dhule,Urban,25-29,42219.0,20760.0,21459.0
1991,Dhule,Urban,30-34,35873.0,18841.0,17032.0
1991,Dhule,Urban,35-39,32659.0,17770.0,14889.0
1991,Dhule,Urban,40-44,24900.0,13230.0,11670.0
1991,Dhule,Urban,45-49,20980.0,10970.0,10010.0
1991,Dhule,Urban,50-54,15834.0,8390.0,7444.0
1991,Dhule,Urban,55-59,12778.0,6678.0,6100.0
1991,Dhule,Urban,60-64,12080.0,5630.0,6450.0
1991,Dhule,Urban,65-69,7658.0,3678.0,3980.0
1991,Dhule,Urban,70-74,5471.0,2351.0,3120.0
1991,Dhule,Urban,75-79,2440.0,1330.0,1110.0
1991,Dhule,Urban,80+,2850.0,1200.0,1650.0
1991,Gadchiroli,Rural,0-4,91820.0,46750.0,45070.0
1991,Gadchiroli,Rural,5-9,83750.0,43040.0,40710.0
1991,Gadchiroli,Rural,10-14,91754.0,45743.0,46011.0
1991,Gadchiroli,Rural,15-19,63707.0,31232.0,32475.0
1991,Gadchiroli,Rural,20-24,60588.0,28070.0,32518.0
1991,Gadchiroli,Rural,25-29,60241.0,28881.0,31360.0
1991,Gadchiroli,Rural,30-34,52996.0,27138.0,25858.0
1991,Gadchiroli,Rural,35-39,46560.0,25110.0,21450.0
1991,Gadchiroli,Rural,40-44,36700.0,18690.0,18010.0
1991,Gadchiroli,Rural,45-49,33529.0,17890.0,15639.0
1991,Gadchiroli,Rural,50-54,28570.0,14990.0,13580.0
1991,Gadchiroli,Rural,55-59,19980.0,10530.0,9450.0
1991,Gadchiroli,Rural,60-64,19690.0,10220.0,9470.0
1991,Gadchiroli,Rural,65-69,10640.0,5010.0,5630.0
1991,Gadchiroli,Rural,70-74,8130.0,3790.0,4340.0
1991,Gadchiroli,Rural,75-79,3290.0,1690.0,1600.0
1991,Gadchiroli,Rural,80+,4530.0,2470.0,2060.0
1991,Gadchiroli,Urban,0-4,7840.0,4040.0,3800.0
1991,Gadchiroli,Urban,5-9,8500.0,4230.0,4270.0
1991,Gadchiroli,Urban,10-14,7854.0,4117.0,3737.0
1991,Gadchiroli,Urban,15-19,7537.0,3897.0,3640.0
1991,Gadchiroli,Urban,20-24,7326.0,3923.0,3403.0
1991,Gadchiroli,Urban,25-29,6192.0,3282.0,2910.0
1991,Gadchiroli,Urban,30-34,5016.0,2749.0,2267.0
1991,Gadchiroli,Urban,35-39,4614.0,2560.0,2054.0
1991,Gadchiroli,Urban,40-44,3532.0,1920.0,1612.0
1991,Gadchiroli,Urban,45-49,3030.0,1620.0,1410.0
1991,Gadchiroli,Urban,50-54,1982.0,1010.0,972.0
1991,Gadchiroli,Urban,55-59,1320.0,670.0,650.0
1991,Gadchiroli,Urban,60-64,1323.0,653.0,670.0
1991,Gadchiroli,Urban,65-69,799.0,419.0,380.0
1991,Gadchiroli,Urban,70-74,660.0,290.0,370.0
1991,Gadchiroli,Urban,75-79,260.0,120.0,140.0
1991,Gadchiroli,Urban,80+,400.0,180.0,220.0
1991,Gondia,Rural,0-4,,,
1991,Gondia,Rural,5-9,,,
1991,Gondia,Rural,10-14,,,
1991,Gondia,Rural,15-19,,,
1991,Gondia,Rural,20-24,,,
1991,Gondia,Rural,25-29,,,
1991,Gondia,Rural,30-34,,,
1991,Gondia,Rural,35-39,,,
1991,Gondia,Rural,40-44,,,
1991,Gondia,Rural,45-49,,,
1991,Gondia,Rural,50-54,,,
1991,Gondia,Rural,55-59,,,
1991,Gondia,Rural,60-64,,,
1991,Gondia,Rural,65-69,,,
1991,Gondia,Rural,70-74,,,
1991,Gondia,Rural,75-79,,,
1991,Gondia,Rural,80+,,,
